blast_id,mine_id,zone_id,scheduled_time,actual_time,delay_hours,blast_status,powder_factor_kg_t,material_type
BLAST-30040,MINE-02,MINE-02-ZONE-B,2026-02-10T10:00:00Z,2026-02-10T10:30:00Z,0.0,COMPLETED,0.75,Waste Rock
BLAST-30041,MINE-02,MINE-02-ZONE-E,2026-09-12T10:00:00Z,2026-09-12T10:30:00Z,0.0,COMPLETED,0.6,Manganese Ore
BLAST-30042,MINE-02,MINE-02-ZONE-B,2025-12-25T10:00:00Z,2025-12-25T10:30:00Z,0.0,COMPLETED,0.64,Manganese Ore
BLAST-30043,MINE-04,MINE-04-ZONE-B,2026-04-29T10:00:00Z,2026-04-29T14:30:00Z,4.5,DELAYED,0.65,Overburden
BLAST-30044,MINE-04,MINE-04-ZONE-D,2026-08-13T10:00:00Z,2026-08-13T10:30:00Z,0.0,COMPLETED,0.71,Overburden
BLAST-30045,MINE-04,MINE-04-ZONE-A,2026-01-30T10:00:00Z,2026-01-30T11:30:00Z,1.5,COMPLETED,0.54,Waste Rock
BLAST-30046,MINE-01,MINE-01-ZONE-E,2025-10-17T10:00:00Z,2025-10-17T14:30:00Z,4.5,DELAYED,0.72,Manganese Ore
BLAST-30047,MINE-01,MINE-01-ZONE-B,2026-02-19T10:00:00Z,2026-02-19T10:30:00Z,0.0,COMPLETED,0.57,Waste Rock
BLAST-30048,MINE-02,MINE-02-ZONE-D,2026-01-25T10:00:00Z,2026-01-25T14:30:00Z,4.5,DELAYED,0.54,Waste Rock
BLAST-30049,MINE-02,MINE-02-ZONE-A,2026-04-10T10:00:00Z,2026-04-10T10:30:00Z,0.0,COMPLETED,0.67,Waste Rock
BLAST-30050,MINE-04,MINE-04-ZONE-C,2026-05-07T10:00:00Z,2026-05-07T11:30:00Z,1.5,COMPLETED,0.63,Waste Rock
BLAST-30051,MINE-03,MINE-03-ZONE-B,2026-08-16T10:00:00Z,2026-08-16T10:30:00Z,0.0,COMPLETED,0.43,Waste Rock
BLAST-30052,MINE-02,MINE-02-ZONE-E,2025-12-02T10:00:00Z,2025-12-02T10:30:00Z,0.0,COMPLETED,0.48,Waste Rock
BLAST-30053,MINE-02,MINE-02-ZONE-C,2026-08-02T10:00:00Z,2026-08-02T10:30:00Z,0.0,COMPLETED,0.4,Manganese Ore
BLAST-30054,MINE-03,MINE-03-ZONE-B,2026-05-31T10:00:00Z,2026-05-31T11:30:00Z,1.5,COMPLETED,0.53,Manganese Ore
BLAST-30055,MINE-03,MINE-03-ZONE-E,2026-05-12T10:00:00Z,2026-05-12T10:30:00Z,0.5,COMPLETED,0.49,Waste Rock
BLAST-30056,MINE-03,MINE-03-ZONE-A,2025-10-15T10:00:00Z,2025-10-15T10:30:00Z,0.0,COMPLETED,0.75,Waste Rock
BLAST-30057,MINE-04,MINE-04-ZONE-B,2026-06-17T10:00:00Z,2026-06-17T10:30:00Z,0.5,COMPLETED,0.42,Manganese Ore
BLAST-30058,MINE-02,MINE-02-ZONE-E,2026-06-17T10:00:00Z,2026-06-17T10:30:00Z,0.5,COMPLETED,0.52,Manganese Ore
BLAST-30059,MINE-02,MINE-02-ZONE-C,2026-04-02T10:00:00Z,2026-04-02T10:30:00Z,0.0,COMPLETED,0.56,Waste Rock
BLAST-30060,MINE-03,MINE-03-ZONE-C,2026-06-21T10:00:00Z,2026-06-21T11:30:00Z,1.5,COMPLETED,0.57,Waste Rock
BLAST-30061,MINE-02,MINE-02-ZONE-E,2025-12-20T10:00:00Z,2025-12-20T10:30:00Z,0.0,COMPLETED,0.65,Waste Rock
BLAST-30062,MINE-02,MINE-02-ZONE-E,2026-05-15T10:00:00Z,2026-05-15T10:30:00Z,0.5,COMPLETED,0.71,Waste Rock
BLAST-30063,MINE-04,MINE-04-ZONE-D,2026-07-04T10:00:00Z,2026-07-04T10:30:00Z,0.0,COMPLETED,0.5,Waste Rock
BLAST-30064,MINE-04,MINE-04-ZONE-E,2026-02-27T10:00:00Z,2026-02-27T11:30:00Z,1.5,COMPLETED,0.65,Manganese Ore
BLAST-30065,MINE-03,MINE-03-ZONE-C,2026-07-13T10:00:00Z,2026-07-13T14:30:00Z,4.5,DELAYED,0.73,Manganese Ore
BLAST-30066,MINE-04,MINE-04-ZONE-D,2025-12-20T10:00:00Z,2025-12-20T13:30:00Z,3.0,DELAYED,0.49,Manganese Ore
BLAST-30067,MINE-01,MINE-01-ZONE-B,2025-12-06T10:00:00Z,2025-12-06T10:30:00Z,0.5,COMPLETED,0.47,Manganese Ore
BLAST-30068,MINE-03,MINE-03-ZONE-D,2026-08-27T10:00:00Z,2026-08-27T14:30:00Z,4.5,DELAYED,0.61,Waste Rock
BLAST-30069,MINE-02,MINE-02-ZONE-E,2026-04-19T10:00:00Z,2026-04-19T14:30:00Z,4.5,DELAYED,0.74,Waste Rock
BLAST-30070,MINE-03,MINE-03-ZONE-E,2026-06-16T10:00:00Z,2026-06-16T14:30:00Z,4.5,DELAYED,0.67,Waste Rock
BLAST-30071,MINE-04,MINE-04-ZONE-D,2026-06-12T10:00:00Z,2026-06-12T11:30:00Z,1.5,COMPLETED,0.44,Overburden
BLAST-30072,MINE-01,MINE-01-ZONE-C,2026-01-14T10:00:00Z,2026-01-14T13:30:00Z,3.0,DELAYED,0.48,Waste Rock
BLAST-30073,MINE-02,MINE-02-ZONE-E,2026-08-13T10:00:00Z,2026-08-13T10:30:00Z,0.5,COMPLETED,0.74,Waste Rock
BLAST-30074,MINE-01,MINE-01-ZONE-E,2026-09-16T10:00:00Z,2026-09-16T10:30:00Z,0.0,COMPLETED,0.4,Waste Rock
BLAST-30075,MINE-03,MINE-03-ZONE-A,2026-05-03T10:00:00Z,2026-05-03T10:30:00Z,0.0,COMPLETED,0.44,Waste Rock
BLAST-30076,MINE-03,MINE-03-ZONE-A,2026-08-09T10:00:00Z,2026-08-09T10:30:00Z,0.0,COMPLETED,0.38,Overburden
BLAST-30077,MINE-03,MINE-03-ZONE-E,2026-01-08T10:00:00Z,2026-01-08T11:30:00Z,1.5,COMPLETED,0.54,Overburden
BLAST-30078,MINE-01,MINE-01-ZONE-E,2026-04-14T10:00:00Z,2026-04-14T14:30:00Z,4.5,DELAYED,0.43,Waste Rock
BLAST-30079,MINE-03,MINE-03-ZONE-C,2026-03-20T10:00:00Z,2026-03-20T10:30:00Z,0.5,COMPLETED,0.66,Waste Rock
BLAST-30080,MINE-04,MINE-04-ZONE-E,2026-05-31T10:00:00Z,2026-05-31T14:30:00Z,4.5,DELAYED,0.54,Manganese Ore
BLAST-30081,MINE-04,MINE-04-ZONE-A,2026-07-01T10:00:00Z,2026-07-01T14:30:00Z,4.5,DELAYED,0.6,Manganese Ore
BLAST-30082,MINE-01,MINE-01-ZONE-A,2025-10-13T10:00:00Z,2025-10-13T13:30:00Z,3.0,DELAYED,0.64,Manganese Ore
BLAST-30083,MINE-01,MINE-01-ZONE-A,2025-10-06T10:00:00Z,2025-10-06T10:30:00Z,0.0,COMPLETED,0.65,Manganese Ore
BLAST-30084,MINE-04,MINE-04-ZONE-B,2026-04-17T10:00:00Z,2026-04-17T14:30:00Z,4.5,DELAYED,0.52,Manganese Ore
BLAST-30085,MINE-03,MINE-03-ZONE-C,2025-12-23T10:00:00Z,2025-12-23T10:30:00Z,0.5,COMPLETED,0.38,Overburden
BLAST-30086,MINE-03,MINE-03-ZONE-A,2026-07-18T10:00:00Z,2026-07-18T10:30:00Z,0.5,COMPLETED,0.39,Waste Rock
BLAST-30087,MINE-01,MINE-01-ZONE-B,2026-07-07T10:00:00Z,2026-07-07T14:30:00Z,4.5,DELAYED,0.51,Manganese Ore
BLAST-30088,MINE-01,MINE-01-ZONE-A,2026-08-26T10:00:00Z,2026-08-26T13:30:00Z,3.0,DELAYED,0.35,Waste Rock
BLAST-30089,MINE-02,MINE-02-ZONE-D,2026-08-10T10:00:00Z,2026-08-10T10:30:00Z,0.5,COMPLETED,0.56,Overburden
BLAST-30090,MINE-02,MINE-02-ZONE-A,2026-02-07T10:00:00Z,2026-02-07T10:30:00Z,0.0,COMPLETED,0.61,Overburden
BLAST-30091,MINE-02,MINE-02-ZONE-E,2026-09-10T10:00:00Z,2026-09-10T13:30:00Z,3.0,DELAYED,0.73,Overburden
BLAST-30092,MINE-03,MINE-03-ZONE-B,2026-09-16T10:00:00Z,2026-09-16T14:30:00Z,4.5,DELAYED,0.4,Overburden
BLAST-30093,MINE-04,MINE-04-ZONE-B,2025-12-31T10:00:00Z,2025-12-31T10:30:00Z,0.0,COMPLETED,0.73,Overburden
BLAST-30094,MINE-01,MINE-01-ZONE-D,2026-05-12T10:00:00Z,2026-05-12T10:30:00Z,0.0,COMPLETED,0.58,Manganese Ore
BLAST-30095,MINE-03,MINE-03-ZONE-A,2025-10-23T10:00:00Z,2025-10-23T10:30:00Z,0.0,COMPLETED,0.61,Overburden
BLAST-30096,MINE-02,MINE-02-ZONE-B,2026-01-19T10:00:00Z,2026-01-19T10:30:00Z,0.5,COMPLETED,0.44,Overburden
BLAST-30097,MINE-03,MINE-03-ZONE-E,2026-03-31T10:00:00Z,2026-03-31T14:30:00Z,4.5,DELAYED,0.53,Overburden
BLAST-30098,MINE-04,MINE-04-ZONE-A,2026-05-06T10:00:00Z,2026-05-06T10:30:00Z,0.0,COMPLETED,0.45,Waste Rock
BLAST-30099,MINE-01,MINE-01-ZONE-E,2026-04-07T10:00:00Z,2026-04-07T10:30:00Z,0.5,COMPLETED,0.56,Overburden
BLAST-30100,MINE-03,MINE-03-ZONE-A,2025-10-15T10:00:00Z,2025-10-15T10:30:00Z,0.0,COMPLETED,0.62,Manganese Ore
BLAST-30101,MINE-02,MINE-02-ZONE-E,2026-08-18T10:00:00Z,2026-08-18T13:30:00Z,3.0,DELAYED,0.53,Manganese Ore
BLAST-30102,MINE-02,MINE-02-ZONE-D,2025-09-21T10:00:00Z,2025-09-21T11:30:00Z,1.5,COMPLETED,0.71,Manganese Ore
BLAST-30103,MINE-02,MINE-02-ZONE-A,2026-06-09T10:00:00Z,2026-06-09T10:30:00Z,0.0,COMPLETED,0.73,Overburden
BLAST-30104,MINE-01,MINE-01-ZONE-C,2026-08-25T10:00:00Z,2026-08-25T13:30:00Z,3.0,DELAYED,0.59,Overburden
BLAST-30105,MINE-02,MINE-02-ZONE-D,2026-04-10T10:00:00Z,2026-04-10T11:30:00Z,1.5,COMPLETED,0.7,Overburden
BLAST-30106,MINE-04,MINE-04-ZONE-E,2026-06-02T10:00:00Z,2026-06-02T14:30:00Z,4.5,DELAYED,0.46,Manganese Ore
BLAST-30107,MINE-01,MINE-01-ZONE-C,2026-05-14T10:00:00Z,2026-05-14T10:30:00Z,0.0,COMPLETED,0.65,Manganese Ore
BLAST-30108,MINE-02,MINE-02-ZONE-E,2026-01-16T10:00:00Z,2026-01-16T10:30:00Z,0.5,COMPLETED,0.51,Waste Rock
BLAST-30109,MINE-02,MINE-02-ZONE-C,2025-10-16T10:00:00Z,2025-10-16T10:30:00Z,0.0,COMPLETED,0.41,Manganese Ore
BLAST-30110,MINE-03,MINE-03-ZONE-C,2026-07-11T10:00:00Z,2026-07-11T10:30:00Z,0.5,COMPLETED,0.64,Overburden
BLAST-30111,MINE-03,MINE-03-ZONE-A,2026-06-20T10:00:00Z,2026-06-20T11:30:00Z,1.5,COMPLETED,0.64,Overburden
BLAST-30112,MINE-04,MINE-04-ZONE-A,2026-01-04T10:00:00Z,2026-01-04T10:30:00Z,0.5,COMPLETED,0.64,Overburden
BLAST-30113,MINE-04,MINE-04-ZONE-C,2025-11-07T10:00:00Z,2025-11-07T14:30:00Z,4.5,DELAYED,0.37,Overburden
BLAST-30114,MINE-02,MINE-02-ZONE-A,2026-06-15T10:00:00Z,2026-06-15T14:30:00Z,4.5,DELAYED,0.44,Waste Rock
BLAST-30115,MINE-02,MINE-02-ZONE-E,2026-05-15T10:00:00Z,2026-05-15T11:30:00Z,1.5,COMPLETED,0.46,Waste Rock
BLAST-30116,MINE-03,MINE-03-ZONE-D,2026-09-03T10:00:00Z,2026-09-03T10:30:00Z,0.0,COMPLETED,0.42,Overburden
BLAST-30117,MINE-01,MINE-01-ZONE-C,2026-02-01T10:00:00Z,2026-02-01T13:30:00Z,3.0,DELAYED,0.63,Waste Rock
BLAST-30118,MINE-02,MINE-02-ZONE-B,2026-08-23T10:00:00Z,2026-08-23T11:30:00Z,1.5,COMPLETED,0.62,Manganese Ore
BLAST-30119,MINE-01,MINE-01-ZONE-D,2026-07-11T10:00:00Z,2026-07-11T11:30:00Z,1.5,COMPLETED,0.42,Overburden
BLAST-30120,MINE-03,MINE-03-ZONE-A,2026-04-10T10:00:00Z,2026-04-10T14:30:00Z,4.5,DELAYED,0.47,Manganese Ore
BLAST-30121,MINE-04,MINE-04-ZONE-D,2025-10-10T10:00:00Z,2025-10-10T13:30:00Z,3.0,DELAYED,0.48,Waste Rock
BLAST-30122,MINE-04,MINE-04-ZONE-E,2026-03-12T10:00:00Z,2026-03-12T11:30:00Z,1.5,COMPLETED,0.71,Overburden
BLAST-30123,MINE-02,MINE-02-ZONE-B,2025-09-29T10:00:00Z,2025-09-29T10:30:00Z,0.0,COMPLETED,0.61,Manganese Ore
BLAST-30124,MINE-03,MINE-03-ZONE-C,2025-12-04T10:00:00Z,2025-12-04T14:30:00Z,4.5,DELAYED,0.72,Manganese Ore
BLAST-30125,MINE-03,MINE-03-ZONE-B,2026-09-03T10:00:00Z,2026-09-03T10:30:00Z,0.0,COMPLETED,0.51,Manganese Ore
BLAST-30126,MINE-03,MINE-03-ZONE-E,2026-06-09T10:00:00Z,2026-06-09T11:30:00Z,1.5,COMPLETED,0.7,Waste Rock
BLAST-30127,MINE-01,MINE-01-ZONE-B,2026-02-21T10:00:00Z,2026-02-21T13:30:00Z,3.0,DELAYED,0.39,Manganese Ore
BLAST-30128,MINE-03,MINE-03-ZONE-B,2025-12-30T10:00:00Z,2025-12-30T14:30:00Z,4.5,DELAYED,0.64,Waste Rock
BLAST-30129,MINE-02,MINE-02-ZONE-C,2026-07-27T10:00:00Z,2026-07-27T11:30:00Z,1.5,COMPLETED,0.5,Manganese Ore
BLAST-30130,MINE-04,MINE-04-ZONE-A,2026-08-08T10:00:00Z,2026-08-08T10:30:00Z,0.0,COMPLETED,0.66,Waste Rock
BLAST-30131,MINE-03,MINE-03-ZONE-A,2026-07-15T10:00:00Z,2026-07-15T14:30:00Z,4.5,DELAYED,0.57,Overburden
BLAST-30132,MINE-03,MINE-03-ZONE-E,2026-05-19T10:00:00Z,2026-05-19T14:30:00Z,4.5,DELAYED,0.37,Overburden
BLAST-30133,MINE-02,MINE-02-ZONE-E,2026-06-12T10:00:00Z,2026-06-12T13:30:00Z,3.0,DELAYED,0.58,Manganese Ore
BLAST-30134,MINE-04,MINE-04-ZONE-A,2025-11-05T10:00:00Z,2025-11-05T10:30:00Z,0.0,COMPLETED,0.63,Waste Rock
BLAST-30135,MINE-03,MINE-03-ZONE-C,2026-07-29T10:00:00Z,2026-07-29T13:30:00Z,3.0,DELAYED,0.72,Overburden
BLAST-30136,MINE-02,MINE-02-ZONE-E,2026-09-16T10:00:00Z,2026-09-16T13:30:00Z,3.0,DELAYED,0.42,Overburden
BLAST-30137,MINE-01,MINE-01-ZONE-A,2025-10-16T10:00:00Z,2025-10-16T14:30:00Z,4.5,DELAYED,0.4,Manganese Ore
BLAST-30138,MINE-02,MINE-02-ZONE-B,2026-09-12T10:00:00Z,2026-09-12T10:30:00Z,0.0,COMPLETED,0.43,Manganese Ore
BLAST-30139,MINE-03,MINE-03-ZONE-C,2026-06-08T10:00:00Z,2026-06-08T13:30:00Z,3.0,DELAYED,0.43,Overburden
BLAST-30140,MINE-03,MINE-03-ZONE-D,2025-10-01T10:00:00Z,2025-10-01T10:30:00Z,0.0,COMPLETED,0.38,Overburden
BLAST-30141,MINE-04,MINE-04-ZONE-C,2026-06-22T10:00:00Z,2026-06-22T10:30:00Z,0.5,COMPLETED,0.38,Overburden
BLAST-30142,MINE-04,MINE-04-ZONE-A,2025-11-02T10:00:00Z,2025-11-02T14:30:00Z,4.5,DELAYED,0.4,Waste Rock
BLAST-30143,MINE-01,MINE-01-ZONE-C,2026-06-17T10:00:00Z,2026-06-17T10:30:00Z,0.5,COMPLETED,0.42,Waste Rock
BLAST-30144,MINE-03,MINE-03-ZONE-B,2025-10-23T10:00:00Z,2025-10-23T14:30:00Z,4.5,DELAYED,0.59,Overburden
BLAST-30145,MINE-01,MINE-01-ZONE-C,2026-05-21T10:00:00Z,2026-05-21T11:30:00Z,1.5,COMPLETED,0.62,Overburden
BLAST-30146,MINE-03,MINE-03-ZONE-A,2026-07-03T10:00:00Z,2026-07-03T13:30:00Z,3.0,DELAYED,0.41,Manganese Ore
BLAST-30147,MINE-03,MINE-03-ZONE-B,2026-03-25T10:00:00Z,2026-03-25T10:30:00Z,0.0,COMPLETED,0.63,Overburden
BLAST-30148,MINE-04,MINE-04-ZONE-C,2026-05-30T10:00:00Z,2026-05-30T14:30:00Z,4.5,DELAYED,0.36,Overburden
BLAST-30149,MINE-02,MINE-02-ZONE-B,2025-09-23T10:00:00Z,2025-09-23T14:30:00Z,4.5,DELAYED,0.41,Manganese Ore
BLAST-30150,MINE-04,MINE-04-ZONE-C,2025-12-20T10:00:00Z,2025-12-20T13:30:00Z,3.0,DELAYED,0.72,Manganese Ore
BLAST-30151,MINE-03,MINE-03-ZONE-B,2025-12-03T10:00:00Z,2025-12-03T13:30:00Z,3.0,DELAYED,0.69,Waste Rock
BLAST-30152,MINE-04,MINE-04-ZONE-E,2026-06-02T10:00:00Z,2026-06-02T10:30:00Z,0.0,COMPLETED,0.5,Manganese Ore
BLAST-30153,MINE-03,MINE-03-ZONE-B,2026-07-24T10:00:00Z,2026-07-24T14:30:00Z,4.5,DELAYED,0.51,Overburden
BLAST-30154,MINE-02,MINE-02-ZONE-A,2026-04-19T10:00:00Z,2026-04-19T13:30:00Z,3.0,DELAYED,0.62,Waste Rock
BLAST-30155,MINE-04,MINE-04-ZONE-A,2026-02-04T10:00:00Z,2026-02-04T11:30:00Z,1.5,COMPLETED,0.46,Overburden
BLAST-30156,MINE-03,MINE-03-ZONE-A,2025-10-08T10:00:00Z,2025-10-08T11:30:00Z,1.5,COMPLETED,0.62,Waste Rock
BLAST-30157,MINE-02,MINE-02-ZONE-C,2025-11-12T10:00:00Z,2025-11-12T10:30:00Z,0.0,COMPLETED,0.72,Manganese Ore
BLAST-30158,MINE-04,MINE-04-ZONE-C,2026-03-20T10:00:00Z,2026-03-20T14:30:00Z,4.5,DELAYED,0.62,Waste Rock
BLAST-30159,MINE-04,MINE-04-ZONE-C,2025-10-16T10:00:00Z,2025-10-16T13:30:00Z,3.0,DELAYED,0.54,Overburden
BLAST-30160,MINE-02,MINE-02-ZONE-E,2026-03-19T10:00:00Z,2026-03-19T10:30:00Z,0.0,COMPLETED,0.65,Overburden
BLAST-30161,MINE-04,MINE-04-ZONE-C,2025-11-16T10:00:00Z,2025-11-16T14:30:00Z,4.5,DELAYED,0.35,Waste Rock
BLAST-30162,MINE-01,MINE-01-ZONE-A,2025-11-15T10:00:00Z,2025-11-15T10:30:00Z,0.0,COMPLETED,0.57,Waste Rock
BLAST-30163,MINE-04,MINE-04-ZONE-C,2026-09-04T10:00:00Z,2026-09-04T11:30:00Z,1.5,COMPLETED,0.54,Overburden
BLAST-30164,MINE-02,MINE-02-ZONE-D,2026-01-28T10:00:00Z,2026-01-28T11:30:00Z,1.5,COMPLETED,0.52,Waste Rock
BLAST-30165,MINE-02,MINE-02-ZONE-B,2026-05-07T10:00:00Z,2026-05-07T13:30:00Z,3.0,DELAYED,0.67,Waste Rock
BLAST-30166,MINE-04,MINE-04-ZONE-C,2026-04-27T10:00:00Z,2026-04-27T11:30:00Z,1.5,COMPLETED,0.43,Overburden
BLAST-30167,MINE-02,MINE-02-ZONE-E,2026-04-07T10:00:00Z,2026-04-07T10:30:00Z,0.5,COMPLETED,0.45,Manganese Ore
BLAST-30168,MINE-02,MINE-02-ZONE-C,2026-02-21T10:00:00Z,2026-02-21T11:30:00Z,1.5,COMPLETED,0.53,Waste Rock
BLAST-30169,MINE-04,MINE-04-ZONE-D,2026-04-18T10:00:00Z,2026-04-18T10:30:00Z,0.0,COMPLETED,0.43,Overburden
BLAST-30170,MINE-04,MINE-04-ZONE-D,2025-12-05T10:00:00Z,2025-12-05T10:30:00Z,0.0,COMPLETED,0.67,Waste Rock
BLAST-30171,MINE-03,MINE-03-ZONE-D,2025-12-17T10:00:00Z,2025-12-17T13:30:00Z,3.0,DELAYED,0.4,Manganese Ore
BLAST-30172,MINE-03,MINE-03-ZONE-B,2025-09-21T10:00:00Z,2025-09-21T10:30:00Z,0.0,COMPLETED,0.44,Overburden
BLAST-30173,MINE-02,MINE-02-ZONE-B,2026-06-29T10:00:00Z,2026-06-29T14:30:00Z,4.5,DELAYED,0.55,Overburden
BLAST-30174,MINE-03,MINE-03-ZONE-A,2025-10-16T10:00:00Z,2025-10-16T10:30:00Z,0.5,COMPLETED,0.74,Manganese Ore
BLAST-30175,MINE-04,MINE-04-ZONE-E,2026-02-16T10:00:00Z,2026-02-16T10:30:00Z,0.0,COMPLETED,0.48,Waste Rock
BLAST-30176,MINE-01,MINE-01-ZONE-A,2026-01-28T10:00:00Z,2026-01-28T11:30:00Z,1.5,COMPLETED,0.4,Overburden
BLAST-30177,MINE-01,MINE-01-ZONE-A,2026-08-06T10:00:00Z,2026-08-06T11:30:00Z,1.5,COMPLETED,0.7,Waste Rock
