production_id,date,mine_id,zone_id,planned_tonnes,actual_tonnes,ore_grade_pct,operating_hours,downtime_hours,rainfall_mm,target_tonnes
PROD-10025,2025-09-22,MINE-01,MINE-01-ZONE-E,244.0,210.0,43.52,14.5,1.5,0.5,260.0
PROD-10026,2025-09-22,MINE-02,MINE-02-ZONE-A,244.0,155.9,32.5,11.0,5.0,41.1,260.0
PROD-10027,2025-09-22,MINE-02,MINE-02-ZONE-B,244.0,185.6,37.77,12.8,3.2,41.1,260.0
PROD-10028,2025-09-22,MINE-02,MINE-02-ZONE-C,244.0,133.1,41.06,9.6,6.4,41.1,260.0
PROD-10029,2025-09-22,MINE-02,MINE-02-ZONE-D,244.0,152.2,33.09,10.6,5.4,41.1,260.0
PROD-10030,2025-09-22,MINE-02,MINE-02-ZONE-E,244.0,151.4,38.76,10.4,5.6,41.1,260.0
PROD-10031,2025-09-22,MINE-03,MINE-03-ZONE-A,244.0,192.5,41.08,12.7,3.3,3.1,260.0
PROD-10032,2025-09-22,MINE-03,MINE-03-ZONE-B,244.0,188.4,33.63,12.9,3.1,3.1,260.0
PROD-10033,2025-09-22,MINE-03,MINE-03-ZONE-C,244.0,181.1,39.52,12.4,3.6,3.1,260.0
PROD-10034,2025-09-22,MINE-03,MINE-03-ZONE-D,244.0,206.3,37.89,13.9,2.1,3.1,260.0
PROD-10035,2025-09-22,MINE-03,MINE-03-ZONE-E,244.0,198.6,37.81,13.5,2.5,3.1,260.0
PROD-10036,2025-09-22,MINE-04,MINE-04-ZONE-A,244.0,209.5,41.44,13.9,2.1,3.8,260.0
PROD-10037,2025-09-22,MINE-04,MINE-04-ZONE-B,244.0,222.6,32.66,14.4,1.6,3.8,260.0
PROD-10038,2025-09-22,MINE-04,MINE-04-ZONE-C,244.0,174.6,33.07,12.2,3.8,3.8,260.0
PROD-10039,2025-09-22,MINE-04,MINE-04-ZONE-D,244.0,186.8,38.86,11.9,4.1,3.8,260.0
PROD-10040,2025-09-22,MINE-04,MINE-04-ZONE-E,244.0,217.5,32.58,14.8,1.2,3.8,260.0
PROD-10041,2025-09-23,MINE-01,MINE-01-ZONE-A,248.0,180.4,36.62,12.9,3.1,55.9,260.0
PROD-10042,2025-09-23,MINE-01,MINE-01-ZONE-B,248.0,150.8,41.88,11.6,4.4,55.9,260.0
PROD-10043,2025-09-23,MINE-01,MINE-01-ZONE-C,248.0,130.9,38.1,10.3,5.7,55.9,260.0
PROD-10044,2025-09-23,MINE-01,MINE-01-ZONE-D,248.0,124.1,40.17,9.6,6.4,55.9,260.0
PROD-10045,2025-09-23,MINE-01,MINE-01-ZONE-E,248.0,156.6,37.49,12.8,3.2,55.9,260.0
PROD-10046,2025-09-23,MINE-02,MINE-02-ZONE-A,248.0,219.9,35.84,14.8,1.2,1.7,260.0
PROD-10047,2025-09-23,MINE-02,MINE-02-ZONE-B,248.0,194.2,38.85,12.6,3.4,1.7,260.0
PROD-10048,2025-09-23,MINE-02,MINE-02-ZONE-C,248.0,186.8,36.58,13.0,3.0,1.7,260.0
PROD-10049,2025-09-23,MINE-02,MINE-02-ZONE-D,248.0,172.0,35.49,11.9,4.1,1.7,260.0
PROD-10050,2025-09-23,MINE-02,MINE-02-ZONE-E,248.0,188.3,42.98,11.9,4.1,1.7,260.0
PROD-10051,2025-09-23,MINE-03,MINE-03-ZONE-A,248.0,144.1,36.68,11.7,4.3,50.6,260.0
PROD-10052,2025-09-23,MINE-03,MINE-03-ZONE-B,248.0,171.6,36.82,12.1,3.9,50.6,260.0
PROD-10053,2025-09-23,MINE-03,MINE-03-ZONE-C,248.0,166.0,39.46,12.4,3.6,50.6,260.0
PROD-10054,2025-09-23,MINE-03,MINE-03-ZONE-D,248.0,170.4,40.16,12.0,4.0,50.6,260.0
PROD-10055,2025-09-23,MINE-03,MINE-03-ZONE-E,248.0,146.2,35.72,10.2,5.8,50.6,260.0
PROD-10056,2025-09-23,MINE-04,MINE-04-ZONE-A,248.0,185.0,42.96,11.7,4.3,1.7,260.0
PROD-10057,2025-09-23,MINE-04,MINE-04-ZONE-B,248.0,199.7,41.88,13.9,2.1,1.7,260.0
PROD-10058,2025-09-23,MINE-04,MINE-04-ZONE-C,248.0,226.2,34.27,14.0,2.0,1.7,260.0
PROD-10059,2025-09-23,MINE-04,MINE-04-ZONE-D,248.0,183.8,32.13,12.4,3.6,1.7,260.0
PROD-10060,2025-09-23,MINE-04,MINE-04-ZONE-E,248.0,182.1,41.21,12.7,3.3,1.7,260.0
PROD-10061,2025-09-24,MINE-01,MINE-01-ZONE-A,252.0,239.9,32.85,15.0,1.0,2.9,260.0
PROD-10062,2025-09-24,MINE-01,MINE-01-ZONE-B,252.0,224.0,41.49,15.0,1.0,2.9,260.0
PROD-10063,2025-09-24,MINE-01,MINE-01-ZONE-C,252.0,238.4,34.01,15.2,0.8,2.9,260.0
PROD-10064,2025-09-24,MINE-01,MINE-01-ZONE-D,252.0,208.8,40.58,12.5,3.5,2.9,260.0
PROD-10065,2025-09-24,MINE-01,MINE-01-ZONE-E,252.0,191.8,35.44,12.7,3.3,2.9,260.0
PROD-10066,2025-09-24,MINE-02,MINE-02-ZONE-A,252.0,126.2,41.13,9.6,6.4,39.3,260.0
PROD-10067,2025-09-24,MINE-02,MINE-02-ZONE-B,252.0,169.9,34.43,11.4,4.6,39.3,260.0
PROD-10068,2025-09-24,MINE-02,MINE-02-ZONE-C,252.0,186.8,34.41,12.7,3.3,39.3,260.0
PROD-10069,2025-09-24,MINE-02,MINE-02-ZONE-D,252.0,137.5,37.75,10.9,5.1,39.3,260.0
PROD-10070,2025-09-24,MINE-02,MINE-02-ZONE-E,252.0,161.2,36.66,12.6,3.4,39.3,260.0
PROD-10071,2025-09-24,MINE-03,MINE-03-ZONE-A,252.0,243.5,32.81,15.2,0.8,2.4,260.0
PROD-10072,2025-09-24,MINE-03,MINE-03-ZONE-B,252.0,211.9,40.86,13.8,2.2,2.4,260.0
PROD-10073,2025-09-24,MINE-03,MINE-03-ZONE-C,252.0,222.3,39.95,13.7,2.3,2.4,260.0
PROD-10074,2025-09-24,MINE-03,MINE-03-ZONE-D,252.0,225.3,41.22,13.5,2.5,2.4,260.0
PROD-10075,2025-09-24,MINE-03,MINE-03-ZONE-E,252.0,183.3,32.17,12.6,3.4,2.4,260.0
PROD-10076,2025-09-24,MINE-04,MINE-04-ZONE-A,252.0,225.0,35.01,14.9,1.1,29.0,260.0
PROD-10077,2025-09-24,MINE-04,MINE-04-ZONE-B,252.0,211.7,42.82,14.8,1.2,29.0,260.0
PROD-10078,2025-09-24,MINE-04,MINE-04-ZONE-C,252.0,216.4,43.36,15.3,0.7,29.0,260.0
PROD-10079,2025-09-24,MINE-04,MINE-04-ZONE-D,252.0,185.9,39.53,13.5,2.5,29.0,260.0
PROD-10080,2025-09-24,MINE-04,MINE-04-ZONE-E,252.0,210.8,32.3,14.2,1.8,29.0,260.0
PROD-10081,2025-09-25,MINE-01,MINE-01-ZONE-A,256.0,145.6,39.22,11.2,4.8,81.6,260.0
PROD-10082,2025-09-25,MINE-01,MINE-01-ZONE-B,256.0,132.4,38.57,11.8,4.2,81.6,260.0
PROD-10083,2025-09-25,MINE-01,MINE-01-ZONE-C,256.0,129.7,32.78,11.7,4.3,81.6,260.0
PROD-10084,2025-09-25,MINE-01,MINE-01-ZONE-D,256.0,117.2,40.65,10.9,5.1,81.6,260.0
PROD-10085,2025-09-25,MINE-01,MINE-01-ZONE-E,256.0,116.7,32.46,10.1,5.9,81.6,260.0
PROD-10086,2025-09-25,MINE-02,MINE-02-ZONE-A,256.0,128.0,32.07,9.4,6.6,61.8,260.0
PROD-10087,2025-09-25,MINE-02,MINE-02-ZONE-B,256.0,156.2,36.65,13.0,3.0,61.8,260.0
PROD-10088,2025-09-25,MINE-02,MINE-02-ZONE-C,256.0,150.2,41.15,10.7,5.3,61.8,260.0
PROD-10089,2025-09-25,MINE-02,MINE-02-ZONE-D,256.0,169.5,32.24,12.9,3.1,61.8,260.0
PROD-10090,2025-09-25,MINE-02,MINE-02-ZONE-E,256.0,125.7,38.86,9.7,6.3,61.8,260.0
PROD-10091,2025-09-25,MINE-03,MINE-03-ZONE-A,256.0,229.2,36.64,14.0,2.0,0.6,260.0
PROD-10092,2025-09-25,MINE-03,MINE-03-ZONE-B,256.0,182.2,37.89,11.9,4.1,0.6,260.0
PROD-10093,2025-09-25,MINE-03,MINE-03-ZONE-C,256.0,246.0,39.64,14.5,1.5,0.6,260.0
PROD-10094,2025-09-25,MINE-03,MINE-03-ZONE-D,256.0,229.2,37.45,13.6,2.4,0.6,260.0
PROD-10095,2025-09-25,MINE-03,MINE-03-ZONE-E,256.0,183.4,35.44,12.0,4.0,0.6,260.0
PROD-10096,2025-09-25,MINE-04,MINE-04-ZONE-A,256.0,142.4,36.66,10.1,5.9,68.3,260.0
PROD-10097,2025-09-25,MINE-04,MINE-04-ZONE-B,256.0,142.5,40.88,12.0,4.0,68.3,260.0
PROD-10098,2025-09-25,MINE-04,MINE-04-ZONE-C,256.0,137.7,32.51,11.3,4.7,68.3,260.0
PROD-10099,2025-09-25,MINE-04,MINE-04-ZONE-D,256.0,156.4,42.22,11.4,4.6,68.3,260.0
PROD-10100,2025-09-25,MINE-04,MINE-04-ZONE-E,256.0,104.5,39.52,9.1,6.9,68.3,260.0
PROD-10101,2025-09-26,MINE-01,MINE-01-ZONE-A,300.0,258.5,42.6,14.7,1.3,17.3,260.0
PROD-10102,2025-09-26,MINE-01,MINE-01-ZONE-B,300.0,242.1,43.43,13.7,2.3,17.3,260.0
PROD-10103,2025-09-26,MINE-01,MINE-01-ZONE-C,300.0,236.9,39.98,13.6,2.4,17.3,260.0
PROD-10104,2025-09-26,MINE-01,MINE-01-ZONE-D,300.0,267.6,34.95,15.0,1.0,17.3,260.0
PROD-10105,2025-09-26,MINE-01,MINE-01-ZONE-E,300.0,226.0,43.38,12.6,3.4,17.3,260.0
PROD-10106,2025-09-26,MINE-02,MINE-02-ZONE-A,300.0,173.0,36.36,10.1,5.9,43.9,260.0
PROD-10107,2025-09-26,MINE-02,MINE-02-ZONE-B,300.0,191.6,41.5,11.1,4.9,43.9,260.0
PROD-10108,2025-09-26,MINE-02,MINE-02-ZONE-C,300.0,181.4,36.71,11.5,4.5,43.9,260.0
PROD-10109,2025-09-26,MINE-02,MINE-02-ZONE-D,300.0,182.0,37.43,11.1,4.9,43.9,260.0
PROD-10110,2025-09-26,MINE-02,MINE-02-ZONE-E,300.0,166.7,42.44,9.4,6.6,43.9,260.0
PROD-10111,2025-09-26,MINE-03,MINE-03-ZONE-A,300.0,248.6,36.05,13.9,2.1,3.9,260.0
PROD-10112,2025-09-26,MINE-03,MINE-03-ZONE-B,300.0,225.3,43.25,11.9,4.1,3.9,260.0
PROD-10113,2025-09-26,MINE-03,MINE-03-ZONE-C,300.0,269.0,32.29,13.8,2.2,3.9,260.0
PROD-10114,2025-09-26,MINE-03,MINE-03-ZONE-D,300.0,274.4,34.07,14.7,1.3,3.9,260.0
PROD-10115,2025-09-26,MINE-03,MINE-03-ZONE-E,300.0,220.4,41.23,11.6,4.4,3.9,260.0
PROD-10116,2025-09-26,MINE-04,MINE-04-ZONE-A,300.0,176.3,41.61,10.4,5.6,35.8,260.0
PROD-10117,2025-09-26,MINE-04,MINE-04-ZONE-B,300.0,202.0,34.95,12.4,3.6,35.8,260.0
PROD-10118,2025-09-26,MINE-04,MINE-04-ZONE-C,300.0,175.2,37.84,10.0,6.0,35.8,260.0
PROD-10119,2025-09-26,MINE-04,MINE-04-ZONE-D,300.0,185.3,38.37,10.6,5.4,35.8,260.0
PROD-10120,2025-09-26,MINE-04,MINE-04-ZONE-E,300.0,161.8,33.16,10.5,5.5,35.8,260.0
PROD-10121,2025-09-27,MINE-01,MINE-01-ZONE-A,304.0,273.2,43.04,15.2,0.8,1.4,260.0
PROD-10122,2025-09-27,MINE-01,MINE-01-ZONE-B,304.0,222.0,33.08,12.0,4.0,1.4,260.0
PROD-10123,2025-09-27,MINE-01,MINE-01-ZONE-C,304.0,219.0,40.92,11.8,4.2,1.4,260.0
PROD-10124,2025-09-27,MINE-01,MINE-01-ZONE-D,304.0,215.6,32.79,11.7,4.3,1.4,260.0
PROD-10125,2025-09-27,MINE-01,MINE-01-ZONE-E,304.0,240.4,42.85,13.0,3.0,1.4,260.0
PROD-10126,2025-09-27,MINE-02,MINE-02-ZONE-A,304.0,255.3,34.1,13.7,2.3,0.2,260.0
PROD-10127,2025-09-27,MINE-02,MINE-02-ZONE-B,304.0,280.6,33.92,14.3,1.7,0.2,260.0
PROD-10128,2025-09-27,MINE-02,MINE-02-ZONE-C,304.0,217.8,33.42,12.0,4.0,0.2,260.0
PROD-10129,2025-09-27,MINE-02,MINE-02-ZONE-D,304.0,223.3,38.74,11.9,4.1,0.2,260.0
PROD-10130,2025-09-27,MINE-02,MINE-02-ZONE-E,304.0,252.8,35.37,13.0,3.0,0.2,260.0
PROD-10131,2025-09-27,MINE-03,MINE-03-ZONE-A,304.0,139.2,33.36,9.6,6.4,65.2,260.0
PROD-10132,2025-09-27,MINE-03,MINE-03-ZONE-B,304.0,152.9,33.16,9.2,6.8,65.2,260.0
PROD-10133,2025-09-27,MINE-03,MINE-03-ZONE-C,304.0,207.0,37.67,12.8,3.2,65.2,260.0
PROD-10134,2025-09-27,MINE-03,MINE-03-ZONE-D,304.0,177.7,39.03,11.1,4.9,65.2,260.0
PROD-10135,2025-09-27,MINE-03,MINE-03-ZONE-E,304.0,133.4,37.29,9.0,7.0,65.2,260.0
PROD-10136,2025-09-27,MINE-04,MINE-04-ZONE-A,304.0,177.1,32.24,10.7,5.3,40.3,260.0
PROD-10137,2025-09-27,MINE-04,MINE-04-ZONE-B,304.0,188.9,36.13,11.0,5.0,40.3,260.0
PROD-10138,2025-09-27,MINE-04,MINE-04-ZONE-C,304.0,181.3,36.44,11.6,4.4,40.3,260.0
PROD-10139,2025-09-27,MINE-04,MINE-04-ZONE-D,304.0,209.2,40.13,12.3,3.7,40.3,260.0
PROD-10140,2025-09-27,MINE-04,MINE-04-ZONE-E,304.0,143.7,43.22,9.3,6.7,40.3,260.0
PROD-10141,2025-09-28,MINE-01,MINE-01-ZONE-A,224.0,154.0,39.61,11.7,4.3,1.5,260.0
PROD-10142,2025-09-28,MINE-01,MINE-01-ZONE-B,224.0,208.1,41.44,14.3,1.7,1.5,260.0
PROD-10143,2025-09-28,MINE-01,MINE-01-ZONE-C,224.0,211.0,37.94,14.1,1.9,1.5,260.0
PROD-10144,2025-09-28,MINE-01,MINE-01-ZONE-D,224.0,183.9,43.9,13.0,3.0,1.5,260.0
PROD-10145,2025-09-28,MINE-01,MINE-01-ZONE-E,224.0,187.7,38.16,14.0,2.0,1.5,260.0
PROD-10146,2025-09-28,MINE-02,MINE-02-ZONE-A,224.0,125.2,32.28,9.1,6.9,37.5,260.0
PROD-10147,2025-09-28,MINE-02,MINE-02-ZONE-B,224.0,135.4,39.79,11.7,4.3,37.5,260.0
PROD-10148,2025-09-28,MINE-02,MINE-02-ZONE-C,224.0,119.6,43.95,10.2,5.8,37.5,260.0
PROD-10149,2025-09-28,MINE-02,MINE-02-ZONE-D,224.0,137.3,43.94,11.6,4.4,37.5,260.0
PROD-10150,2025-09-28,MINE-02,MINE-02-ZONE-E,224.0,134.0,36.0,10.4,5.6,37.5,260.0
PROD-10151,2025-09-28,MINE-03,MINE-03-ZONE-A,224.0,174.2,43.12,12.9,3.1,32.4,260.0
PROD-10152,2025-09-28,MINE-03,MINE-03-ZONE-B,224.0,166.5,35.63,13.0,3.0,32.4,260.0
PROD-10153,2025-09-28,MINE-03,MINE-03-ZONE-C,224.0,153.3,36.66,12.2,3.8,32.4,260.0
PROD-10154,2025-09-28,MINE-03,MINE-03-ZONE-D,224.0,122.0,36.5,10.2,5.8,32.4,260.0
PROD-10155,2025-09-28,MINE-03,MINE-03-ZONE-E,224.0,145.7,43.92,11.5,4.5,32.4,260.0
PROD-10156,2025-09-28,MINE-04,MINE-04-ZONE-A,224.0,131.1,33.59,11.3,4.7,70.2,260.0
PROD-10157,2025-09-28,MINE-04,MINE-04-ZONE-B,224.0,121.0,34.31,11.6,4.4,70.2,260.0
PROD-10158,2025-09-28,MINE-04,MINE-04-ZONE-C,224.0,119.0,37.4,11.9,4.1,70.2,260.0
PROD-10159,2025-09-28,MINE-04,MINE-04-ZONE-D,224.0,123.0,42.96,10.3,5.7,70.2,260.0
PROD-10160,2025-09-28,MINE-04,MINE-04-ZONE-E,224.0,118.0,32.28,9.6,6.4,70.2,260.0
PROD-10161,2025-09-29,MINE-01,MINE-01-ZONE-A,228.0,219.6,34.92,15.0,1.0,3.2,260.0
PROD-10162,2025-09-29,MINE-01,MINE-01-ZONE-B,228.0,195.8,38.86,14.8,1.2,3.2,260.0
PROD-10163,2025-09-29,MINE-01,MINE-01-ZONE-C,228.0,193.7,32.9,14.6,1.4,3.2,260.0
PROD-10164,2025-09-29,MINE-01,MINE-01-ZONE-D,228.0,184.9,36.09,12.6,3.4,3.2,260.0
PROD-10165,2025-09-29,MINE-01,MINE-01-ZONE-E,228.0,155.1,38.99,11.9,4.1,3.2,260.0
PROD-10166,2025-09-29,MINE-02,MINE-02-ZONE-A,228.0,171.2,39.57,11.6,4.4,16.4,260.0
PROD-10167,2025-09-29,MINE-02,MINE-02-ZONE-B,228.0,197.3,39.35,14.2,1.8,16.4,260.0
PROD-10168,2025-09-29,MINE-02,MINE-02-ZONE-C,228.0,196.5,43.02,15.3,0.7,16.4,260.0
PROD-10169,2025-09-29,MINE-02,MINE-02-ZONE-D,228.0,150.4,40.62,11.8,4.2,16.4,260.0
PROD-10170,2025-09-29,MINE-02,MINE-02-ZONE-E,228.0,202.6,40.23,15.1,0.9,16.4,260.0
PROD-10171,2025-09-29,MINE-03,MINE-03-ZONE-A,228.0,131.3,36.64,12.2,3.8,94.0,260.0
PROD-10172,2025-09-29,MINE-03,MINE-03-ZONE-B,228.0,98.2,41.81,10.5,5.5,94.0,260.0
PROD-10173,2025-09-29,MINE-03,MINE-03-ZONE-C,228.0,104.2,40.48,10.2,5.8,94.0,260.0
PROD-10174,2025-09-29,MINE-03,MINE-03-ZONE-D,228.0,120.5,39.1,11.1,4.9,94.0,260.0
PROD-10175,2025-09-29,MINE-03,MINE-03-ZONE-E,228.0,96.5,38.09,9.6,6.4,94.0,260.0
PROD-10176,2025-09-29,MINE-04,MINE-04-ZONE-A,228.0,154.7,35.16,12.7,3.3,74.6,260.0
PROD-10177,2025-09-29,MINE-04,MINE-04-ZONE-B,228.0,107.3,34.27,9.5,6.5,74.6,260.0
PROD-10178,2025-09-29,MINE-04,MINE-04-ZONE-C,228.0,146.1,34.26,12.5,3.5,74.6,260.0
PROD-10179,2025-09-29,MINE-04,MINE-04-ZONE-D,228.0,113.9,34.73,9.6,6.4,74.6,260.0
PROD-10180,2025-09-29,MINE-04,MINE-04-ZONE-E,228.0,136.2,35.56,11.4,4.6,74.6,260.0
PROD-10181,2025-09-30,MINE-01,MINE-01-ZONE-A,232.0,205.0,34.62,13.9,2.1,1.2,260.0
PROD-10182,2025-09-30,MINE-01,MINE-01-ZONE-B,232.0,204.8,34.89,14.5,1.5,1.2,260.0
PROD-10183,2025-09-30,MINE-01,MINE-01-ZONE-C,232.0,235.7,40.2,15.5,0.5,1.2,260.0
PROD-10184,2025-09-30,MINE-01,MINE-01-ZONE-D,232.0,197.9,32.74,14.4,1.6,1.2,260.0
PROD-10185,2025-09-30,MINE-01,MINE-01-ZONE-E,232.0,207.1,32.72,13.5,2.5,1.2,260.0
PROD-10186,2025-09-30,MINE-02,MINE-02-ZONE-A,232.0,178.9,40.09,12.5,3.5,0.4,260.0
PROD-10187,2025-09-30,MINE-02,MINE-02-ZONE-B,232.0,170.7,43.73,11.9,4.1,0.4,260.0
PROD-10188,2025-09-30,MINE-02,MINE-02-ZONE-C,232.0,179.9,41.26,12.8,3.2,0.4,260.0
PROD-10189,2025-09-30,MINE-02,MINE-02-ZONE-D,232.0,176.8,39.27,11.8,4.2,0.4,260.0
PROD-10190,2025-09-30,MINE-02,MINE-02-ZONE-E,232.0,171.5,40.73,11.7,4.3,0.4,260.0
PROD-10191,2025-09-30,MINE-03,MINE-03-ZONE-A,232.0,190.8,41.73,14.2,1.8,17.6,260.0
PROD-10192,2025-09-30,MINE-03,MINE-03-ZONE-B,232.0,186.3,37.87,14.0,2.0,17.6,260.0
PROD-10193,2025-09-30,MINE-03,MINE-03-ZONE-C,232.0,190.0,34.74,13.3,2.7,17.6,260.0
PROD-10194,2025-09-30,MINE-03,MINE-03-ZONE-D,232.0,209.0,36.92,14.8,1.2,17.6,260.0
PROD-10195,2025-09-30,MINE-03,MINE-03-ZONE-E,232.0,159.5,41.56,12.0,4.0,17.6,260.0
PROD-10196,2025-09-30,MINE-04,MINE-04-ZONE-A,232.0,166.6,42.42,11.7,4.3,0.2,260.0
PROD-10197,2025-09-30,MINE-04,MINE-04-ZONE-B,232.0,186.7,40.85,13.6,2.4,0.2,260.0
PROD-10198,2025-09-30,MINE-04,MINE-04-ZONE-C,232.0,216.4,42.48,14.0,2.0,0.2,260.0
PROD-10199,2025-09-30,MINE-04,MINE-04-ZONE-D,232.0,174.7,42.44,12.3,3.7,0.2,260.0
PROD-10200,2025-09-30,MINE-04,MINE-04-ZONE-E,232.0,211.9,37.21,14.9,1.1,0.2,260.0
PROD-10201,2025-10-01,MINE-01,MINE-01-ZONE-A,276.0,222.3,33.81,12.2,3.8,0.5,260.0
PROD-10202,2025-10-01,MINE-01,MINE-01-ZONE-B,276.0,193.0,32.2,11.7,4.3,0.5,260.0
PROD-10203,2025-10-01,MINE-01,MINE-01-ZONE-C,276.0,227.4,34.37,13.6,2.4,0.5,260.0
PROD-10204,2025-10-01,MINE-01,MINE-01-ZONE-D,276.0,222.3,41.96,13.5,2.5,0.5,260.0
PROD-10205,2025-10-01,MINE-01,MINE-01-ZONE-E,276.0,201.7,34.28,12.1,3.9,0.5,260.0
PROD-10206,2025-10-01,MINE-02,MINE-02-ZONE-A,276.0,224.1,37.22,13.1,2.9,2.7,260.0
PROD-10207,2025-10-01,MINE-02,MINE-02-ZONE-B,276.0,206.7,39.99,12.1,3.9,2.7,260.0
PROD-10208,2025-10-01,MINE-02,MINE-02-ZONE-C,276.0,229.4,43.44,14.1,1.9,2.7,260.0
PROD-10209,2025-10-01,MINE-02,MINE-02-ZONE-D,276.0,220.5,33.7,12.7,3.3,2.7,260.0
PROD-10210,2025-10-01,MINE-02,MINE-02-ZONE-E,276.0,229.1,34.6,13.4,2.6,2.7,260.0
PROD-10211,2025-10-01,MINE-03,MINE-03-ZONE-A,276.0,245.8,39.58,13.5,2.5,1.1,260.0
PROD-10212,2025-10-01,MINE-03,MINE-03-ZONE-B,276.0,236.7,39.42,14.1,1.9,1.1,260.0
PROD-10213,2025-10-01,MINE-03,MINE-03-ZONE-C,276.0,228.2,38.36,13.1,2.9,1.1,260.0
PROD-10214,2025-10-01,MINE-03,MINE-03-ZONE-D,276.0,238.6,40.26,14.1,1.9,1.1,260.0
PROD-10215,2025-10-01,MINE-03,MINE-03-ZONE-E,276.0,259.9,37.68,15.0,1.0,1.1,260.0
PROD-10216,2025-10-01,MINE-04,MINE-04-ZONE-A,276.0,259.3,34.95,15.4,0.6,3.1,260.0
PROD-10217,2025-10-01,MINE-04,MINE-04-ZONE-B,276.0,205.6,42.92,11.7,4.3,3.1,260.0
PROD-10218,2025-10-01,MINE-04,MINE-04-ZONE-C,276.0,207.4,42.82,11.9,4.1,3.1,260.0
PROD-10219,2025-10-01,MINE-04,MINE-04-ZONE-D,276.0,225.8,36.09,13.6,2.4,3.1,260.0
PROD-10220,2025-10-01,MINE-04,MINE-04-ZONE-E,276.0,216.2,42.82,12.3,3.7,3.1,260.0
PROD-10221,2025-10-02,MINE-01,MINE-01-ZONE-A,280.0,209.4,38.87,11.6,4.4,3.3,260.0
PROD-10222,2025-10-02,MINE-01,MINE-01-ZONE-B,280.0,212.4,39.31,11.9,4.1,3.3,260.0
PROD-10223,2025-10-02,MINE-01,MINE-01-ZONE-C,280.0,203.9,38.76,12.2,3.8,3.3,260.0
PROD-10224,2025-10-02,MINE-01,MINE-01-ZONE-D,280.0,200.6,42.57,11.9,4.1,3.3,260.0
PROD-10225,2025-10-02,MINE-01,MINE-01-ZONE-E,280.0,232.0,35.86,14.0,2.0,3.3,260.0
PROD-10226,2025-10-02,MINE-02,MINE-02-ZONE-A,280.0,230.6,42.81,13.4,2.6,3.9,260.0
PROD-10227,2025-10-02,MINE-02,MINE-02-ZONE-B,280.0,209.2,32.8,11.7,4.3,3.9,260.0
