log_id,equipment_id,mine_id,zone_id,date,start_time,end_time,downtime_hours,reason,severity
DT-LOG-10057,EX-116,MINE-01,MINE-01-ZONE-B,2026-04-21,2026-04-21T17:00:00Z,2026-04-21T22:00:00Z,9.3,Scheduled maintenance,HIGH
DT-LOG-10058,HT-132,MINE-01,MINE-01-ZONE-B,2026-05-13,2026-05-13T13:00:00Z,2026-05-13T22:00:00Z,14.3,Hydraulic leak,CRITICAL
DT-LOG-10059,HT-127,MINE-03,MINE-03-ZONE-C,2026-03-15,2026-03-15T13:00:00Z,2026-03-15T22:00:00Z,14.0,Scheduled maintenance,CRITICAL
DT-LOG-10060,CR-120,MINE-01,MINE-01-ZONE-E,2026-03-22,2026-03-22T11:00:00Z,2026-03-22T22:00:00Z,6.9,Weather delay,HIGH
DT-LOG-10061,LD-104,MINE-04,MINE-04-ZONE-B,2026-01-05,2026-01-05T14:00:00Z,2026-01-05T22:00:00Z,5.3,Mechanical failure,MEDIUM
DT-LOG-10062,HT-122,MINE-01,MINE-01-ZONE-B,2026-09-12,2026-09-12T11:00:00Z,2026-09-12T22:00:00Z,5.3,Operator shortage,MEDIUM
DT-LOG-10063,DR-108,MINE-01,MINE-01-ZONE-B,2025-11-15,2025-11-15T08:00:00Z,2025-11-15T22:00:00Z,16.3,Scheduled maintenance,CRITICAL
DT-LOG-10064,LD-114,MINE-01,MINE-01-ZONE-E,2026-07-11,2026-07-11T09:00:00Z,2026-07-11T22:00:00Z,6.4,Hydraulic leak,HIGH
DT-LOG-10065,LD-104,MINE-04,MINE-04-ZONE-B,2026-06-23,2026-06-23T18:00:00Z,2026-06-23T22:00:00Z,11.5,Hydraulic leak,HIGH
DT-LOG-10066,DR-113,MINE-03,MINE-03-ZONE-E,2026-09-09,2026-09-09T16:00:00Z,2026-09-09T22:00:00Z,5.2,Mechanical failure,MEDIUM
DT-LOG-10067,LD-114,MINE-01,MINE-01-ZONE-E,2026-03-26,2026-03-26T07:00:00Z,2026-03-26T22:00:00Z,12.5,Electrical glitch,CRITICAL
DT-LOG-10068,LD-134,MINE-01,MINE-01-ZONE-E,2026-03-01,2026-03-01T18:00:00Z,2026-03-01T22:00:00Z,6.7,Mechanical failure,HIGH
DT-LOG-10069,CR-130,MINE-03,MINE-03-ZONE-C,2025-10-02,2025-10-02T10:00:00Z,2025-10-02T22:00:00Z,3.4,Mechanical failure,MEDIUM
DT-LOG-10070,DR-128,MINE-04,MINE-04-ZONE-E,2025-11-30,2025-11-30T12:00:00Z,2025-11-30T22:00:00Z,14.6,Mechanical failure,CRITICAL
DT-LOG-10071,CR-125,MINE-04,MINE-04-ZONE-B,2026-05-04,2026-05-04T07:00:00Z,2026-05-04T22:00:00Z,5.8,Electrical glitch,MEDIUM
DT-LOG-10072,DR-108,MINE-01,MINE-01-ZONE-B,2026-02-20,2026-02-20T14:00:00Z,2026-02-20T22:00:00Z,6.2,Scheduled maintenance,HIGH
DT-LOG-10073,DR-128,MINE-04,MINE-04-ZONE-E,2025-12-10,2025-12-10T20:00:00Z,2025-12-10T22:00:00Z,2.8,Scheduled maintenance,MEDIUM
DT-LOG-10074,LD-119,MINE-01,MINE-01-ZONE-D,2026-07-05,2026-07-05T17:00:00Z,2026-07-05T22:00:00Z,17.7,Electrical glitch,CRITICAL
DT-LOG-10075,LD-109,MINE-02,MINE-02-ZONE-D,2026-05-11,2026-05-11T19:00:00Z,2026-05-11T22:00:00Z,12.9,Weather delay,CRITICAL
DT-LOG-10076,CR-130,MINE-03,MINE-03-ZONE-C,2026-01-26,2026-01-26T15:00:00Z,2026-01-26T22:00:00Z,1.9,Electrical glitch,MEDIUM
DT-LOG-10077,LD-104,MINE-04,MINE-04-ZONE-B,2026-05-02,2026-05-02T19:00:00Z,2026-05-02T22:00:00Z,10.6,Scheduled maintenance,HIGH
DT-LOG-10078,EX-111,MINE-01,MINE-01-ZONE-D,2026-03-16,2026-03-16T06:00:00Z,2026-03-16T22:00:00Z,3.9,Hydraulic leak,MEDIUM
DT-LOG-10079,CR-115,MINE-04,MINE-04-ZONE-B,2026-03-24,2026-03-24T09:00:00Z,2026-03-24T22:00:00Z,9.6,Scheduled maintenance,HIGH
DT-LOG-10080,CR-130,MINE-03,MINE-03-ZONE-C,2025-11-17,2025-11-17T14:00:00Z,2025-11-17T22:00:00Z,3.7,Hydraulic leak,MEDIUM
DT-LOG-10081,CR-135,MINE-04,MINE-04-ZONE-A,2026-02-03,2026-02-03T18:00:00Z,2026-02-03T22:00:00Z,10.0,Weather delay,HIGH
DT-LOG-10082,EX-106,MINE-04,MINE-04-ZONE-A,2026-07-20,2026-07-20T19:00:00Z,2026-07-20T22:00:00Z,12.4,Operator shortage,CRITICAL
DT-LOG-10083,CR-120,MINE-01,MINE-01-ZONE-E,2026-07-26,2026-07-26T07:00:00Z,2026-07-26T22:00:00Z,7.1,Scheduled maintenance,HIGH
DT-LOG-10084,HT-122,MINE-01,MINE-01-ZONE-B,2026-08-06,2026-08-06T17:00:00Z,2026-08-06T22:00:00Z,10.9,Operator shortage,HIGH
DT-LOG-10085,DR-118,MINE-01,MINE-01-ZONE-C,2026-02-28,2026-02-28T12:00:00Z,2026-02-28T22:00:00Z,15.2,Operator shortage,CRITICAL
DT-LOG-10086,LD-119,MINE-01,MINE-01-ZONE-D,2026-02-20,2026-02-20T18:00:00Z,2026-02-20T22:00:00Z,8.4,Electrical glitch,HIGH
DT-LOG-10087,CR-110,MINE-03,MINE-03-ZONE-D,2026-01-20,2026-01-20T06:00:00Z,2026-01-20T22:00:00Z,15.0,Mechanical failure,CRITICAL
DT-LOG-10088,HT-117,MINE-01,MINE-01-ZONE-C,2025-10-28,2025-10-28T08:00:00Z,2025-10-28T22:00:00Z,17.5,Electrical glitch,CRITICAL
DT-LOG-10089,CR-110,MINE-03,MINE-03-ZONE-D,2026-06-17,2026-06-17T14:00:00Z,2026-06-17T22:00:00Z,7.4,Electrical glitch,HIGH
DT-LOG-10090,HT-122,MINE-01,MINE-01-ZONE-B,2026-01-29,2026-01-29T06:00:00Z,2026-01-29T22:00:00Z,9.4,Mechanical failure,HIGH
DT-LOG-10091,DR-133,MINE-02,MINE-02-ZONE-E,2026-07-19,2026-07-19T13:00:00Z,2026-07-19T22:00:00Z,9.0,Weather delay,HIGH
DT-LOG-10092,DR-123,MINE-02,MINE-02-ZONE-A,2025-10-14,2025-10-14T16:00:00Z,2025-10-14T22:00:00Z,3.1,Electrical glitch,MEDIUM
DT-LOG-10093,CR-125,MINE-04,MINE-04-ZONE-B,2026-05-10,2026-05-10T17:00:00Z,2026-05-10T22:00:00Z,17.0,Weather delay,CRITICAL
DT-LOG-10094,CR-115,MINE-04,MINE-04-ZONE-B,2026-04-25,2026-04-25T18:00:00Z,2026-04-25T22:00:00Z,9.3,Operator shortage,HIGH
DT-LOG-10095,HT-122,MINE-01,MINE-01-ZONE-B,2025-10-13,2025-10-13T20:00:00Z,2025-10-13T22:00:00Z,13.6,Weather delay,CRITICAL
DT-LOG-10096,HT-102,MINE-04,MINE-04-ZONE-C,2025-10-20,2025-10-20T10:00:00Z,2025-10-20T22:00:00Z,14.6,Operator shortage,CRITICAL
DT-LOG-10097,CR-105,MINE-02,MINE-02-ZONE-E,2026-05-15,2026-05-15T17:00:00Z,2026-05-15T22:00:00Z,9.2,Mechanical failure,HIGH
DT-LOG-10098,HT-132,MINE-01,MINE-01-ZONE-B,2026-01-22,2026-01-22T19:00:00Z,2026-01-22T22:00:00Z,5.6,Scheduled maintenance,MEDIUM
DT-LOG-10099,DR-103,MINE-02,MINE-02-ZONE-B,2026-08-31,2026-08-31T12:00:00Z,2026-08-31T22:00:00Z,5.2,Mechanical failure,MEDIUM
DT-LOG-10100,CR-115,MINE-04,MINE-04-ZONE-B,2026-08-26,2026-08-26T17:00:00Z,2026-08-26T22:00:00Z,6.1,Scheduled maintenance,HIGH
DT-LOG-10101,LD-109,MINE-02,MINE-02-ZONE-D,2026-09-06,2026-09-06T12:00:00Z,2026-09-06T22:00:00Z,13.7,Electrical glitch,CRITICAL
DT-LOG-10102,DR-123,MINE-02,MINE-02-ZONE-A,2026-05-25,2026-05-25T08:00:00Z,2026-05-25T22:00:00Z,6.5,Scheduled maintenance,HIGH
DT-LOG-10103,DR-123,MINE-02,MINE-02-ZONE-A,2026-02-15,2026-02-15T17:00:00Z,2026-02-15T22:00:00Z,12.0,Weather delay,HIGH
DT-LOG-10104,DR-113,MINE-03,MINE-03-ZONE-E,2025-11-24,2025-11-24T18:00:00Z,2025-11-24T22:00:00Z,13.9,Scheduled maintenance,CRITICAL
DT-LOG-10105,HT-132,MINE-01,MINE-01-ZONE-B,2026-09-07,2026-09-07T11:00:00Z,2026-09-07T22:00:00Z,16.3,Mechanical failure,CRITICAL
DT-LOG-10106,DR-123,MINE-02,MINE-02-ZONE-A,2026-09-04,2026-09-04T20:00:00Z,2026-09-04T22:00:00Z,1.9,Scheduled maintenance,MEDIUM
DT-LOG-10107,LD-134,MINE-01,MINE-01-ZONE-E,2026-06-08,2026-06-08T11:00:00Z,2026-06-08T22:00:00Z,2.2,Operator shortage,MEDIUM
DT-LOG-10108,CR-130,MINE-03,MINE-03-ZONE-C,2025-11-16,2025-11-16T11:00:00Z,2025-11-16T22:00:00Z,12.8,Scheduled maintenance,CRITICAL
DT-LOG-10109,HT-127,MINE-03,MINE-03-ZONE-C,2025-11-01,2025-11-01T12:00:00Z,2025-11-01T22:00:00Z,15.6,Weather delay,CRITICAL
DT-LOG-10110,CR-120,MINE-01,MINE-01-ZONE-E,2025-10-13,2025-10-13T12:00:00Z,2025-10-13T22:00:00Z,10.6,Operator shortage,HIGH
DT-LOG-10111,EX-116,MINE-01,MINE-01-ZONE-B,2026-04-07,2026-04-07T16:00:00Z,2026-04-07T22:00:00Z,5.3,Mechanical failure,MEDIUM
DT-LOG-10112,HT-122,MINE-01,MINE-01-ZONE-B,2026-07-09,2026-07-09T11:00:00Z,2026-07-09T22:00:00Z,16.0,Mechanical failure,CRITICAL
DT-LOG-10113,HT-127,MINE-03,MINE-03-ZONE-C,2025-11-19,2025-11-19T07:00:00Z,2025-11-19T22:00:00Z,15.7,Hydraulic leak,CRITICAL
DT-LOG-10114,LD-114,MINE-01,MINE-01-ZONE-E,2026-07-18,2026-07-18T09:00:00Z,2026-07-18T22:00:00Z,6.7,Hydraulic leak,HIGH
DT-LOG-10115,LD-109,MINE-02,MINE-02-ZONE-D,2026-02-01,2026-02-01T20:00:00Z,2026-02-01T22:00:00Z,16.4,Mechanical failure,CRITICAL
DT-LOG-10116,DR-133,MINE-02,MINE-02-ZONE-E,2025-12-06,2025-12-06T15:00:00Z,2025-12-06T22:00:00Z,7.3,Scheduled maintenance,HIGH
DT-LOG-10117,CR-105,MINE-02,MINE-02-ZONE-E,2026-07-21,2026-07-21T08:00:00Z,2026-07-21T22:00:00Z,3.2,Operator shortage,MEDIUM
DT-LOG-10118,DR-128,MINE-04,MINE-04-ZONE-E,2026-07-08,2026-07-08T17:00:00Z,2026-07-08T22:00:00Z,8.7,Electrical glitch,HIGH
DT-LOG-10119,EX-136,MINE-02,MINE-02-ZONE-C,2026-09-14,2026-09-14T15:00:00Z,2026-09-14T22:00:00Z,15.9,Scheduled maintenance,CRITICAL
DT-LOG-10120,EX-136,MINE-02,MINE-02-ZONE-C,2026-02-23,2026-02-23T15:00:00Z,2026-02-23T22:00:00Z,9.9,Weather delay,HIGH
DT-LOG-10121,HT-127,MINE-03,MINE-03-ZONE-C,2025-12-31,2025-12-31T12:00:00Z,2025-12-31T22:00:00Z,2.4,Hydraulic leak,MEDIUM
DT-LOG-10122,LD-104,MINE-04,MINE-04-ZONE-B,2026-03-17,2026-03-17T16:00:00Z,2026-03-17T22:00:00Z,3.8,Mechanical failure,MEDIUM
DT-LOG-10123,HT-117,MINE-01,MINE-01-ZONE-C,2026-01-03,2026-01-03T20:00:00Z,2026-01-03T22:00:00Z,7.6,Hydraulic leak,HIGH
DT-LOG-10124,HT-112,MINE-04,MINE-04-ZONE-E,2026-03-17,2026-03-17T17:00:00Z,2026-03-17T22:00:00Z,14.8,Mechanical failure,CRITICAL
DT-LOG-10125,DR-128,MINE-04,MINE-04-ZONE-E,2026-01-27,2026-01-27T06:00:00Z,2026-01-27T22:00:00Z,3.3,Mechanical failure,MEDIUM
DT-LOG-10126,LD-109,MINE-02,MINE-02-ZONE-D,2026-05-26,2026-05-26T15:00:00Z,2026-05-26T22:00:00Z,5.8,Operator shortage,MEDIUM
DT-LOG-10127,EX-101,MINE-01,MINE-01-ZONE-B,2025-11-16,2025-11-16T09:00:00Z,2025-11-16T22:00:00Z,9.3,Mechanical failure,HIGH
DT-LOG-10128,EX-106,MINE-04,MINE-04-ZONE-A,2026-07-10,2026-07-10T19:00:00Z,2026-07-10T22:00:00Z,15.0,Scheduled maintenance,CRITICAL
DT-LOG-10129,EX-116,MINE-01,MINE-01-ZONE-B,2026-05-17,2026-05-17T16:00:00Z,2026-05-17T22:00:00Z,17.9,Mechanical failure,CRITICAL
DT-LOG-10130,LD-134,MINE-01,MINE-01-ZONE-E,2026-03-25,2026-03-25T09:00:00Z,2026-03-25T22:00:00Z,12.3,Scheduled maintenance,CRITICAL
DT-LOG-10131,EX-101,MINE-01,MINE-01-ZONE-B,2026-04-24,2026-04-24T08:00:00Z,2026-04-24T22:00:00Z,14.4,Hydraulic leak,CRITICAL
DT-LOG-10132,EX-101,MINE-01,MINE-01-ZONE-B,2026-04-20,2026-04-20T12:00:00Z,2026-04-20T22:00:00Z,4.2,Scheduled maintenance,MEDIUM
DT-LOG-10133,LD-114,MINE-01,MINE-01-ZONE-E,2026-08-15,2026-08-15T13:00:00Z,2026-08-15T22:00:00Z,13.5,Scheduled maintenance,CRITICAL
DT-LOG-10134,LD-124,MINE-04,MINE-04-ZONE-C,2026-04-09,2026-04-09T10:00:00Z,2026-04-09T22:00:00Z,11.5,Hydraulic leak,HIGH
DT-LOG-10135,LD-134,MINE-01,MINE-01-ZONE-E,2026-02-26,2026-02-26T06:00:00Z,2026-02-26T22:00:00Z,14.6,Electrical glitch,CRITICAL
DT-LOG-10136,EX-101,MINE-01,MINE-01-ZONE-B,2025-10-09,2025-10-09T17:00:00Z,2025-10-09T22:00:00Z,4.7,Hydraulic leak,MEDIUM
DT-LOG-10137,EX-131,MINE-03,MINE-03-ZONE-E,2026-01-03,2026-01-03T18:00:00Z,2026-01-03T22:00:00Z,1.3,Hydraulic leak,MEDIUM
DT-LOG-10138,CR-120,MINE-01,MINE-01-ZONE-E,2026-06-16,2026-06-16T13:00:00Z,2026-06-16T22:00:00Z,4.0,Electrical glitch,MEDIUM
DT-LOG-10139,CR-125,MINE-04,MINE-04-ZONE-B,2026-01-04,2026-01-04T11:00:00Z,2026-01-04T22:00:00Z,13.7,Hydraulic leak,CRITICAL
DT-LOG-10140,CR-115,MINE-04,MINE-04-ZONE-B,2026-03-14,2026-03-14T07:00:00Z,2026-03-14T22:00:00Z,15.3,Mechanical failure,CRITICAL
DT-LOG-10141,EX-136,MINE-02,MINE-02-ZONE-C,2026-06-11,2026-06-11T08:00:00Z,2026-06-11T22:00:00Z,12.7,Mechanical failure,CRITICAL
DT-LOG-10142,EX-116,MINE-01,MINE-01-ZONE-B,2026-06-24,2026-06-24T19:00:00Z,2026-06-24T22:00:00Z,1.1,Scheduled maintenance,MEDIUM
DT-LOG-10143,HT-122,MINE-01,MINE-01-ZONE-B,2026-06-06,2026-06-06T12:00:00Z,2026-06-06T22:00:00Z,12.3,Hydraulic leak,CRITICAL
DT-LOG-10144,CR-105,MINE-02,MINE-02-ZONE-E,2026-07-05,2026-07-05T20:00:00Z,2026-07-05T22:00:00Z,6.7,Operator shortage,HIGH
DT-LOG-10145,CR-105,MINE-02,MINE-02-ZONE-E,2025-11-12,2025-11-12T20:00:00Z,2025-11-12T22:00:00Z,2.6,Hydraulic leak,MEDIUM
DT-LOG-10146,DR-133,MINE-02,MINE-02-ZONE-E,2025-10-31,2025-10-31T18:00:00Z,2025-10-31T22:00:00Z,8.9,Weather delay,HIGH
DT-LOG-10147,HT-102,MINE-04,MINE-04-ZONE-C,2026-01-06,2026-01-06T12:00:00Z,2026-01-06T22:00:00Z,11.8,Scheduled maintenance,HIGH
DT-LOG-10148,EX-126,MINE-01,MINE-01-ZONE-D,2026-01-16,2026-01-16T17:00:00Z,2026-01-16T22:00:00Z,7.7,Weather delay,HIGH
DT-LOG-10149,CR-120,MINE-01,MINE-01-ZONE-E,2026-05-24,2026-05-24T07:00:00Z,2026-05-24T22:00:00Z,4.0,Operator shortage,MEDIUM
DT-LOG-10150,EX-116,MINE-01,MINE-01-ZONE-B,2025-12-11,2025-12-11T19:00:00Z,2025-12-11T22:00:00Z,8.0,Electrical glitch,HIGH
DT-LOG-10151,DR-133,MINE-02,MINE-02-ZONE-E,2026-02-11,2026-02-11T09:00:00Z,2026-02-11T22:00:00Z,6.7,Hydraulic leak,HIGH
DT-LOG-10152,HT-132,MINE-01,MINE-01-ZONE-B,2026-07-30,2026-07-30T08:00:00Z,2026-07-30T22:00:00Z,1.8,Operator shortage,MEDIUM
DT-LOG-10153,DR-118,MINE-01,MINE-01-ZONE-C,2025-10-06,2025-10-06T13:00:00Z,2025-10-06T22:00:00Z,15.2,Electrical glitch,CRITICAL
DT-LOG-10154,LD-114,MINE-01,MINE-01-ZONE-E,2026-03-16,2026-03-16T09:00:00Z,2026-03-16T22:00:00Z,11.8,Operator shortage,HIGH
DT-LOG-10155,HT-107,MINE-03,MINE-03-ZONE-C,2026-08-24,2026-08-24T17:00:00Z,2026-08-24T22:00:00Z,4.4,Electrical glitch,MEDIUM
