maint_id,equipment_id,date,maintenance_type,description,cost_inr,status
MNT-20090,DR-118,2026-01-31,INSPECTION,INSPECTION service for Drill rig component wear,150294.95,SCHEDULED
MNT-20091,CR-110,2026-03-31,PREVENTIVE,PREVENTIVE service for Crusher component wear,202286.13,SCHEDULED
MNT-20092,EX-131,2026-09-09,CORRECTIVE,CORRECTIVE service for Excavator component wear,205925.23,IN_PROGRESS
MNT-20093,EX-121,2026-02-09,INSPECTION,INSPECTION service for Excavator component wear,187199.55,IN_PROGRESS
MNT-20094,DR-133,2026-05-15,CORRECTIVE,CORRECTIVE service for Drill rig component wear,239366.17,IN_PROGRESS
MNT-20095,CR-105,2025-10-21,OVERHAUL,OVERHAUL service for Crusher component wear,59065.84,SCHEDULED
MNT-20096,CR-110,2026-03-21,PREVENTIVE,PREVENTIVE service for Crusher component wear,202082.29,SCHEDULED
MNT-20097,HT-132,2026-05-14,PREVENTIVE,PREVENTIVE service for Haul truck component wear,146187.64,COMPLETED
MNT-20098,EX-126,2025-09-22,PREVENTIVE,PREVENTIVE service for Excavator component wear,126734.01,COMPLETED
MNT-20099,HT-102,2026-01-30,PREVENTIVE,PREVENTIVE service for Haul truck component wear,241308.0,COMPLETED
MNT-20100,DR-123,2026-04-02,PREVENTIVE,PREVENTIVE service for Drill rig component wear,25984.22,COMPLETED
MNT-20101,DR-113,2025-11-10,INSPECTION,INSPECTION service for Drill rig component wear,175288.18,IN_PROGRESS
MNT-20102,CR-130,2026-03-20,CORRECTIVE,CORRECTIVE service for Crusher component wear,127869.75,COMPLETED
MNT-20103,LD-129,2025-11-16,CORRECTIVE,CORRECTIVE service for Loader component wear,222116.42,SCHEDULED
MNT-20104,CR-130,2025-11-12,INSPECTION,INSPECTION service for Crusher component wear,116044.0,SCHEDULED
MNT-20105,EX-121,2025-09-25,INSPECTION,INSPECTION service for Excavator component wear,220236.3,IN_PROGRESS
MNT-20106,HT-112,2026-09-12,INSPECTION,INSPECTION service for Haul truck component wear,51961.78,SCHEDULED
MNT-20107,HT-102,2026-09-08,OVERHAUL,OVERHAUL service for Haul truck component wear,64504.92,SCHEDULED
MNT-20108,HT-107,2026-05-28,INSPECTION,INSPECTION service for Haul truck component wear,123535.92,COMPLETED
MNT-20109,EX-111,2026-05-03,PREVENTIVE,PREVENTIVE service for Excavator component wear,48801.6,IN_PROGRESS
MNT-20110,CR-120,2026-01-25,PREVENTIVE,PREVENTIVE service for Crusher component wear,108122.68,COMPLETED
MNT-20111,CR-105,2026-03-03,OVERHAUL,OVERHAUL service for Crusher component wear,248968.68,IN_PROGRESS
MNT-20112,EX-131,2025-11-24,OVERHAUL,OVERHAUL service for Excavator component wear,113357.3,IN_PROGRESS
MNT-20113,CR-125,2026-05-18,CORRECTIVE,CORRECTIVE service for Crusher component wear,245554.44,COMPLETED
MNT-20114,LD-114,2026-05-02,PREVENTIVE,PREVENTIVE service for Loader component wear,106833.52,COMPLETED
MNT-20115,EX-121,2026-09-15,OVERHAUL,OVERHAUL service for Excavator component wear,22711.41,COMPLETED
MNT-20116,EX-126,2025-10-24,CORRECTIVE,CORRECTIVE service for Excavator component wear,75481.09,SCHEDULED
MNT-20117,EX-131,2026-01-14,PREVENTIVE,PREVENTIVE service for Excavator component wear,218307.31,COMPLETED
MNT-20118,LD-104,2026-04-30,INSPECTION,INSPECTION service for Loader component wear,118177.36,IN_PROGRESS
MNT-20119,EX-121,2026-02-14,PREVENTIVE,PREVENTIVE service for Excavator component wear,91215.63,SCHEDULED
MNT-20120,HT-112,2026-02-10,CORRECTIVE,CORRECTIVE service for Haul truck component wear,162394.33,SCHEDULED
MNT-20121,DR-108,2026-09-10,INSPECTION,INSPECTION service for Drill rig component wear,244791.64,IN_PROGRESS
MNT-20122,CR-115,2026-03-11,CORRECTIVE,CORRECTIVE service for Crusher component wear,179799.68,SCHEDULED
MNT-20123,DR-128,2025-10-28,INSPECTION,INSPECTION service for Drill rig component wear,144285.18,COMPLETED
MNT-20124,LD-124,2026-07-01,PREVENTIVE,PREVENTIVE service for Loader component wear,71343.71,SCHEDULED
MNT-20125,DR-103,2026-03-10,INSPECTION,INSPECTION service for Drill rig component wear,67722.57,COMPLETED
MNT-20126,CR-115,2026-04-02,INSPECTION,INSPECTION service for Crusher component wear,216455.55,SCHEDULED
MNT-20127,EX-136,2026-04-06,OVERHAUL,OVERHAUL service for Excavator component wear,98871.06,IN_PROGRESS
MNT-20128,LD-109,2026-04-18,PREVENTIVE,PREVENTIVE service for Loader component wear,89096.17,COMPLETED
MNT-20129,LD-129,2025-09-26,OVERHAUL,OVERHAUL service for Loader component wear,171414.62,IN_PROGRESS
MNT-20130,EX-101,2026-03-26,CORRECTIVE,CORRECTIVE service for Excavator component wear,161380.2,IN_PROGRESS
MNT-20131,DR-103,2026-07-05,INSPECTION,INSPECTION service for Drill rig component wear,139926.62,IN_PROGRESS
MNT-20132,LD-119,2025-11-07,CORRECTIVE,CORRECTIVE service for Loader component wear,196523.45,IN_PROGRESS
MNT-20133,CR-135,2026-07-19,INSPECTION,INSPECTION service for Crusher component wear,169113.09,IN_PROGRESS
MNT-20134,EX-136,2026-04-12,CORRECTIVE,CORRECTIVE service for Excavator component wear,220450.17,COMPLETED
MNT-20135,EX-121,2026-04-29,PREVENTIVE,PREVENTIVE service for Excavator component wear,23223.08,SCHEDULED
MNT-20136,HT-112,2026-03-11,OVERHAUL,OVERHAUL service for Haul truck component wear,29783.52,COMPLETED
MNT-20137,EX-131,2026-07-18,INSPECTION,INSPECTION service for Excavator component wear,178274.99,IN_PROGRESS
MNT-20138,CR-105,2026-07-17,CORRECTIVE,CORRECTIVE service for Crusher component wear,126536.17,SCHEDULED
MNT-20139,HT-117,2026-07-19,OVERHAUL,OVERHAUL service for Haul truck component wear,66201.7,COMPLETED
MNT-20140,CR-130,2025-12-31,OVERHAUL,OVERHAUL service for Crusher component wear,194829.34,IN_PROGRESS
MNT-20141,HT-122,2026-06-19,PREVENTIVE,PREVENTIVE service for Haul truck component wear,172223.91,SCHEDULED
MNT-20142,HT-132,2026-04-25,CORRECTIVE,CORRECTIVE service for Haul truck component wear,41319.65,IN_PROGRESS
MNT-20143,HT-127,2025-11-05,INSPECTION,INSPECTION service for Haul truck component wear,80149.44,IN_PROGRESS
MNT-20144,CR-105,2026-03-03,CORRECTIVE,CORRECTIVE service for Crusher component wear,235549.48,IN_PROGRESS
MNT-20145,HT-122,2026-01-26,CORRECTIVE,CORRECTIVE service for Haul truck component wear,205915.85,COMPLETED
MNT-20146,HT-117,2026-05-09,PREVENTIVE,PREVENTIVE service for Haul truck component wear,189243.57,SCHEDULED
MNT-20147,HT-107,2025-09-22,PREVENTIVE,PREVENTIVE service for Haul truck component wear,78396.32,SCHEDULED
MNT-20148,HT-107,2025-12-15,INSPECTION,INSPECTION service for Haul truck component wear,31990.9,SCHEDULED
MNT-20149,CR-135,2026-02-07,PREVENTIVE,PREVENTIVE service for Crusher component wear,196982.56,SCHEDULED
MNT-20150,HT-117,2026-01-25,INSPECTION,INSPECTION service for Haul truck component wear,195492.71,IN_PROGRESS
MNT-20151,EX-136,2026-08-28,PREVENTIVE,PREVENTIVE service for Excavator component wear,205231.87,IN_PROGRESS
MNT-20152,DR-133,2025-11-16,INSPECTION,INSPECTION service for Drill rig component wear,192207.88,SCHEDULED
MNT-20153,EX-116,2025-09-25,PREVENTIVE,PREVENTIVE service for Excavator component wear,137480.98,COMPLETED
MNT-20154,EX-121,2026-06-11,PREVENTIVE,PREVENTIVE service for Excavator component wear,92479.61,SCHEDULED
MNT-20155,DR-133,2025-10-12,PREVENTIVE,PREVENTIVE service for Drill rig component wear,77926.12,COMPLETED
MNT-20156,LD-114,2026-02-12,PREVENTIVE,PREVENTIVE service for Loader component wear,94880.32,COMPLETED
MNT-20157,EX-136,2025-11-17,PREVENTIVE,PREVENTIVE service for Excavator component wear,94689.23,SCHEDULED
MNT-20158,CR-115,2026-03-14,INSPECTION,INSPECTION service for Crusher component wear,205434.3,SCHEDULED
MNT-20159,DR-103,2026-08-11,CORRECTIVE,CORRECTIVE service for Drill rig component wear,240936.17,COMPLETED
MNT-20160,CR-105,2025-11-09,INSPECTION,INSPECTION service for Crusher component wear,179889.0,SCHEDULED
