sample_id,hole_id,zone_id,depth_from_m,depth_to_m,mn_pct,fe_pct,sio2_pct,al2o3_pct,p_pct,sample_date
SMP-10166,DH-2055,MINE-02-ZONE-E,75.0,100.0,39.79,14.27,22.35,6.96,0.205,2025-12-21
SMP-10167,DH-2056,MINE-01-ZONE-C,0.0,25.0,28.98,13.05,23.26,3.81,0.267,2025-12-22
SMP-10168,DH-2056,MINE-01-ZONE-C,25.0,50.0,26.73,11.84,19.08,2.37,0.085,2025-12-22
SMP-10169,DH-2056,MINE-01-ZONE-C,50.0,75.0,29.69,8.86,16.04,7.37,0.261,2025-12-22
SMP-10170,DH-2057,MINE-02-ZONE-E,0.0,25.0,38.35,9.46,23.82,4.24,0.261,2025-12-24
SMP-10171,DH-2057,MINE-02-ZONE-E,25.0,50.0,42.7,13.09,20.83,6.95,0.279,2025-12-24
SMP-10172,DH-2058,MINE-04-ZONE-E,0.0,25.0,38.58,10.57,16.09,5.44,0.095,2025-12-25
SMP-10173,DH-2058,MINE-04-ZONE-E,25.0,50.0,41.24,10.24,9.86,3.23,0.225,2025-12-25
SMP-10174,DH-2059,MINE-01-ZONE-C,0.0,25.0,44.16,12.07,12.93,2.13,0.126,2025-12-27
SMP-10175,DH-2059,MINE-01-ZONE-C,25.0,50.0,38.6,6.61,9.17,4.54,0.26,2025-12-27
SMP-10176,DH-2060,MINE-04-ZONE-C,0.0,25.0,48.55,13.19,23.65,5.88,0.176,2025-12-28
SMP-10177,DH-2060,MINE-04-ZONE-C,25.0,50.0,50.79,8.59,21.91,7.44,0.163,2025-12-28
SMP-10178,DH-2061,MINE-04-ZONE-C,0.0,25.0,29.98,14.02,20.1,7.87,0.189,2025-12-30
SMP-10179,DH-2061,MINE-04-ZONE-C,25.0,50.0,27.38,9.09,14.07,3.38,0.188,2025-12-30
SMP-10180,DH-2061,MINE-04-ZONE-C,50.0,75.0,21.74,6.26,22.0,6.59,0.06,2025-12-30
SMP-10181,DH-2061,MINE-04-ZONE-C,75.0,100.0,26.79,11.38,22.98,7.33,0.122,2025-12-30
SMP-10182,DH-2062,MINE-01-ZONE-C,0.0,25.0,23.44,6.81,11.48,7.18,0.067,2025-12-31
SMP-10183,DH-2062,MINE-01-ZONE-C,25.0,50.0,24.46,7.47,21.05,6.39,0.146,2025-12-31
SMP-10184,DH-2063,MINE-04-ZONE-E,0.0,25.0,38.55,4.73,23.18,7.28,0.323,2026-01-02
SMP-10185,DH-2063,MINE-04-ZONE-E,25.0,50.0,41.8,9.13,15.93,7.83,0.332,2026-01-02
SMP-10186,DH-2063,MINE-04-ZONE-E,50.0,75.0,42.25,13.43,13.1,4.5,0.095,2026-01-02
SMP-10187,DH-2064,MINE-03-ZONE-C,0.0,25.0,30.56,10.75,23.48,5.34,0.09,2026-01-03
SMP-10188,DH-2064,MINE-03-ZONE-C,25.0,50.0,23.84,6.44,18.35,7.53,0.304,2026-01-03
SMP-10189,DH-2064,MINE-03-ZONE-C,50.0,75.0,22.33,12.7,11.05,3.61,0.252,2026-01-03
SMP-10190,DH-2065,MINE-04-ZONE-E,0.0,25.0,20.04,14.88,12.85,7.45,0.114,2026-01-05
SMP-10191,DH-2065,MINE-04-ZONE-E,25.0,50.0,19.85,12.9,19.95,6.53,0.324,2026-01-05
SMP-10192,DH-2065,MINE-04-ZONE-E,50.0,75.0,24.91,12.45,14.35,3.44,0.146,2026-01-05
SMP-10193,DH-2066,MINE-02-ZONE-E,0.0,25.0,27.13,15.78,15.51,7.04,0.324,2026-01-06
SMP-10194,DH-2066,MINE-02-ZONE-E,25.0,50.0,29.85,8.97,17.0,3.33,0.094,2026-01-06
SMP-10195,DH-2066,MINE-02-ZONE-E,50.0,75.0,28.75,15.22,17.27,4.51,0.096,2026-01-06
SMP-10196,DH-2067,MINE-03-ZONE-A,0.0,25.0,32.19,11.7,15.85,3.01,0.288,2026-01-08
SMP-10197,DH-2067,MINE-03-ZONE-A,25.0,50.0,24.21,12.64,15.81,7.5,0.213,2026-01-08
SMP-10198,DH-2067,MINE-03-ZONE-A,50.0,75.0,28.94,4.7,8.54,7.08,0.334,2026-01-08
SMP-10199,DH-2068,MINE-01-ZONE-B,0.0,25.0,40.4,8.48,17.89,6.0,0.235,2026-01-09
SMP-10200,DH-2068,MINE-01-ZONE-B,25.0,50.0,40.17,9.85,8.11,5.31,0.054,2026-01-09
SMP-10201,DH-2069,MINE-04-ZONE-B,0.0,25.0,35.4,5.16,10.38,3.15,0.208,2026-01-11
SMP-10202,DH-2069,MINE-04-ZONE-B,25.0,50.0,42.48,7.21,14.35,4.24,0.172,2026-01-11
SMP-10203,DH-2070,MINE-04-ZONE-D,0.0,25.0,30.44,5.12,14.07,5.32,0.067,2026-01-12
SMP-10204,DH-2070,MINE-04-ZONE-D,25.0,50.0,22.93,6.06,16.0,4.6,0.285,2026-01-12
SMP-10205,DH-2070,MINE-04-ZONE-D,50.0,75.0,28.5,14.3,9.53,5.17,0.063,2026-01-12
SMP-10206,DH-2070,MINE-04-ZONE-D,75.0,100.0,24.95,14.42,22.2,4.85,0.064,2026-01-12
SMP-10207,DH-2071,MINE-01-ZONE-C,0.0,25.0,33.59,6.49,10.31,6.92,0.296,2026-01-14
SMP-10208,DH-2071,MINE-01-ZONE-C,25.0,50.0,42.72,7.59,17.02,5.4,0.305,2026-01-14
SMP-10209,DH-2071,MINE-01-ZONE-C,50.0,75.0,40.2,10.49,14.14,6.44,0.287,2026-01-14
SMP-10210,DH-2072,MINE-01-ZONE-C,0.0,25.0,38.57,8.76,20.38,2.18,0.132,2026-01-15
SMP-10211,DH-2072,MINE-01-ZONE-C,25.0,50.0,38.95,9.89,13.69,7.65,0.18,2026-01-15
SMP-10212,DH-2072,MINE-01-ZONE-C,50.0,75.0,35.82,11.93,9.37,5.71,0.289,2026-01-15
SMP-10213,DH-2072,MINE-01-ZONE-C,75.0,100.0,36.15,4.98,10.47,6.27,0.24,2026-01-15
SMP-10214,DH-2073,MINE-03-ZONE-C,0.0,25.0,25.93,6.25,15.18,5.33,0.172,2026-01-17
SMP-10215,DH-2073,MINE-03-ZONE-C,25.0,50.0,24.86,8.25,9.49,5.59,0.147,2026-01-17
SMP-10216,DH-2074,MINE-03-ZONE-C,0.0,25.0,23.02,6.03,14.09,2.83,0.14,2026-01-18
SMP-10217,DH-2074,MINE-03-ZONE-C,25.0,50.0,22.23,4.76,14.95,4.53,0.195,2026-01-18
SMP-10218,DH-2075,MINE-01-ZONE-C,0.0,25.0,27.02,4.08,14.33,7.05,0.164,2026-01-20
SMP-10219,DH-2075,MINE-01-ZONE-C,25.0,50.0,34.29,9.28,14.89,6.94,0.245,2026-01-20
SMP-10220,DH-2076,MINE-04-ZONE-E,0.0,25.0,29.96,7.5,19.12,4.95,0.223,2026-01-21
SMP-10221,DH-2076,MINE-04-ZONE-E,25.0,50.0,22.69,8.51,21.06,4.36,0.084,2026-01-21
SMP-10222,DH-2076,MINE-04-ZONE-E,50.0,75.0,25.91,11.11,16.73,6.09,0.215,2026-01-21
SMP-10223,DH-2077,MINE-03-ZONE-E,0.0,25.0,46.36,5.67,12.85,3.52,0.096,2026-01-23
SMP-10224,DH-2077,MINE-03-ZONE-E,25.0,50.0,43.86,8.52,15.19,5.59,0.225,2026-01-23
SMP-10225,DH-2077,MINE-03-ZONE-E,50.0,75.0,44.97,15.08,21.91,4.51,0.061,2026-01-23
SMP-10226,DH-2078,MINE-03-ZONE-B,0.0,25.0,40.49,6.0,17.8,5.38,0.244,2026-01-24
SMP-10227,DH-2078,MINE-03-ZONE-B,25.0,50.0,40.31,15.6,13.31,6.78,0.082,2026-01-24
