hole_id,mine_id,zone_id,latitude,longitude,depth_m,dip_deg,azimuth_deg,mn_assay_pct,drill_date
DH-2075,MINE-01,MINE-01-ZONE-C,21.65784,85.94781,169.1,-90,70.4,30.67,2026-01-20
DH-2076,MINE-04,MINE-04-ZONE-E,21.65551,85.91567,104.2,-75,63.9,25.27,2026-01-21
DH-2077,MINE-03,MINE-03-ZONE-E,21.6155,85.95458,242.9,-60,294.8,44.63,2026-01-23
DH-2078,MINE-03,MINE-03-ZONE-B,21.61972,85.94264,261.2,-60,276.8,38.84,2026-01-24
DH-2079,MINE-01,MINE-01-ZONE-E,21.64465,85.95285,151.5,-60,41.8,30.28,2026-01-26
DH-2080,MINE-04,MINE-04-ZONE-C,21.64492,85.91038,198.5,-60,230.6,32.23,2026-01-27
DH-2081,MINE-01,MINE-01-ZONE-D,21.64913,85.94928,200.6,-90,139.9,28.3,2026-01-29
DH-2082,MINE-03,MINE-03-ZONE-D,21.62105,85.95493,167.1,-90,249.6,36.31,2026-01-30
DH-2083,MINE-02,MINE-02-ZONE-C,21.64665,85.94048,97.0,-75,203.6,29.01,2026-02-01
DH-2084,MINE-01,MINE-01-ZONE-B,21.65819,85.96167,156.6,-60,279.2,32.79,2026-02-02
DH-2085,MINE-04,MINE-04-ZONE-D,21.65431,85.90869,131.2,-90,105.3,30.42,2026-02-04
DH-2086,MINE-03,MINE-03-ZONE-D,21.61606,85.95865,229.2,-75,185.6,31.0,2026-02-05
DH-2087,MINE-02,MINE-02-ZONE-B,21.64933,85.93254,180.4,-60,203.8,33.87,2026-02-07
DH-2088,MINE-02,MINE-02-ZONE-E,21.65293,85.93814,204.0,-75,29.7,25.82,2026-02-08
DH-2089,MINE-03,MINE-03-ZONE-C,21.63076,85.94033,140.9,-75,49.4,24.14,2026-02-10
DH-2090,MINE-04,MINE-04-ZONE-E,21.6609,85.90707,82.1,-60,212.2,38.48,2026-02-11
DH-2091,MINE-02,MINE-02-ZONE-B,21.64906,85.93025,257.5,-60,178.2,39.95,2026-02-13
DH-2092,MINE-04,MINE-04-ZONE-C,21.64793,85.91194,229.5,-60,211.5,38.39,2026-02-14
DH-2093,MINE-04,MINE-04-ZONE-C,21.64183,85.90324,77.4,-60,350.8,34.9,2026-02-16
DH-2094,MINE-01,MINE-01-ZONE-C,21.64956,85.94672,72.1,-90,267.0,44.19,2026-02-17
DH-2095,MINE-01,MINE-01-ZONE-C,21.65351,85.94115,249.1,-60,132.4,33.91,2026-02-19
DH-2096,MINE-03,MINE-03-ZONE-D,21.61778,85.95986,130.4,-60,205.8,27.39,2026-02-20
DH-2097,MINE-03,MINE-03-ZONE-A,21.62867,85.93659,124.2,-75,266.2,24.07,2026-02-22
DH-2098,MINE-02,MINE-02-ZONE-C,21.65026,85.94203,62.1,-75,0.5,35.0,2026-02-23
DH-2099,MINE-03,MINE-03-ZONE-C,21.62838,85.94365,272.1,-60,105.0,23.8,2026-02-25
DH-2100,MINE-02,MINE-02-ZONE-B,21.65073,85.93822,79.9,-90,109.5,32.85,2026-02-26
DH-2101,MINE-02,MINE-02-ZONE-C,21.65214,85.93882,198.7,-90,30.3,25.14,2026-02-28
DH-2102,MINE-02,MINE-02-ZONE-A,21.64756,85.93849,195.1,-90,88.5,28.6,2026-03-01
DH-2103,MINE-04,MINE-04-ZONE-A,21.65946,85.91302,119.5,-60,114.8,30.26,2026-03-03
DH-2104,MINE-02,MINE-02-ZONE-C,21.65206,85.94427,72.3,-60,207.2,28.4,2026-03-04
DH-2105,MINE-04,MINE-04-ZONE-A,21.65556,85.91018,72.4,-90,78.8,35.01,2026-03-06
DH-2106,MINE-03,MINE-03-ZONE-A,21.62568,85.94239,234.2,-75,233.7,25.27,2026-03-07
DH-2107,MINE-02,MINE-02-ZONE-A,21.65259,85.94649,146.2,-90,11.7,39.49,2026-03-09
DH-2108,MINE-01,MINE-01-ZONE-D,21.64098,85.94838,152.3,-60,318.4,39.29,2026-03-10
DH-2109,MINE-03,MINE-03-ZONE-C,21.62345,85.94872,275.2,-75,213.9,25.86,2026-03-12
DH-2110,MINE-01,MINE-01-ZONE-A,21.65575,85.94712,192.0,-60,34.9,32.26,2026-03-13
DH-2111,MINE-02,MINE-02-ZONE-A,21.64691,85.93887,69.8,-75,167.4,30.9,2026-03-15
DH-2112,MINE-01,MINE-01-ZONE-B,21.66288,85.95769,177.8,-75,206.2,42.18,2026-03-16
DH-2113,MINE-03,MINE-03-ZONE-E,21.62324,85.95632,237.9,-60,15.4,26.15,2026-03-18
DH-2114,MINE-03,MINE-03-ZONE-C,21.63127,85.9445,261.8,-60,283.2,35.25,2026-03-19
DH-2115,MINE-04,MINE-04-ZONE-E,21.65924,85.90659,255.7,-75,248.6,36.61,2026-03-21
DH-2116,MINE-02,MINE-02-ZONE-C,21.65364,85.93953,241.7,-75,262.4,25.23,2026-03-22
DH-2117,MINE-03,MINE-03-ZONE-E,21.617,85.94859,141.0,-75,181.8,23.21,2026-03-24
DH-2118,MINE-02,MINE-02-ZONE-B,21.6502,85.9299,231.7,-90,3.2,28.46,2026-03-25
DH-2119,MINE-03,MINE-03-ZONE-B,21.61378,85.93972,174.5,-90,143.0,33.02,2026-03-27
DH-2120,MINE-02,MINE-02-ZONE-D,21.64631,85.94511,216.4,-90,107.6,37.37,2026-03-28
DH-2121,MINE-02,MINE-02-ZONE-E,21.64779,85.93928,67.8,-90,358.1,28.23,2026-03-30
DH-2122,MINE-04,MINE-04-ZONE-C,21.64128,85.90368,116.9,-90,274.7,26.35,2026-03-31
DH-2123,MINE-03,MINE-03-ZONE-E,21.61811,85.95526,188.4,-90,25.6,42.43,2026-04-02
DH-2124,MINE-03,MINE-03-ZONE-E,21.62202,85.9484,77.8,-75,227.2,25.44,2026-04-03
DH-2125,MINE-03,MINE-03-ZONE-D,21.61933,85.96035,144.3,-60,192.2,37.2,2026-04-05
DH-2126,MINE-01,MINE-01-ZONE-E,21.65341,85.95539,101.5,-75,6.9,30.23,2026-04-06
DH-2127,MINE-04,MINE-04-ZONE-C,21.64624,85.90288,83.8,-60,17.4,36.96,2026-04-08
DH-2128,MINE-02,MINE-02-ZONE-D,21.64471,85.94669,257.7,-90,258.8,36.95,2026-04-09
DH-2129,MINE-04,MINE-04-ZONE-C,21.64238,85.91173,132.7,-60,4.6,33.91,2026-04-11
DH-2130,MINE-02,MINE-02-ZONE-E,21.6441,85.94353,252.3,-75,129.7,28.34,2026-04-12
DH-2131,MINE-03,MINE-03-ZONE-D,21.62327,85.95183,213.2,-60,353.4,37.57,2026-04-14
DH-2132,MINE-01,MINE-01-ZONE-E,21.64928,85.96068,157.0,-60,94.2,33.59,2026-04-15
DH-2133,MINE-03,MINE-03-ZONE-C,21.63096,85.94822,194.8,-60,231.6,25.57,2026-04-17
DH-2134,MINE-03,MINE-03-ZONE-C,21.62505,85.94389,236.3,-75,31.7,31.68,2026-04-18
DH-2135,MINE-03,MINE-03-ZONE-A,21.62464,85.93513,160.0,-90,276.3,30.72,2026-04-20
DH-2136,MINE-03,MINE-03-ZONE-C,21.63095,85.94121,134.3,-75,16.7,27.17,2026-04-21
DH-2137,MINE-04,MINE-04-ZONE-E,21.65552,85.91501,152.1,-90,329.7,36.55,2026-04-23
DH-2138,MINE-03,MINE-03-ZONE-A,21.63346,85.93923,104.2,-90,257.2,39.08,2026-04-24
DH-2139,MINE-01,MINE-01-ZONE-A,21.65333,85.94107,118.7,-60,354.1,31.14,2026-04-26
DH-2140,MINE-03,MINE-03-ZONE-A,21.62464,85.94034,104.7,-75,298.8,45.18,2026-04-27
DH-2141,MINE-01,MINE-01-ZONE-E,21.65369,85.95777,230.2,-90,221.6,22.96,2026-04-29
DH-2142,MINE-04,MINE-04-ZONE-C,21.65011,85.90249,207.2,-75,86.5,41.77,2026-04-30
DH-2143,MINE-02,MINE-02-ZONE-A,21.65083,85.94233,197.9,-60,241.3,45.32,2026-05-02
DH-2144,MINE-01,MINE-01-ZONE-E,21.65157,85.95218,76.1,-60,285.9,22.57,2026-05-03
DH-2145,MINE-02,MINE-02-ZONE-E,21.64798,85.93935,205.4,-75,56.3,40.37,2026-05-05
DH-2146,MINE-03,MINE-03-ZONE-B,21.61171,85.94545,91.1,-60,1.8,44.98,2026-05-06
DH-2147,MINE-04,MINE-04-ZONE-C,21.64702,85.90491,103.4,-90,175.4,23.76,2026-05-08
DH-2148,MINE-03,MINE-03-ZONE-A,21.62632,85.9403,155.9,-75,48.4,27.91,2026-05-09
DH-2149,MINE-04,MINE-04-ZONE-D,21.65187,85.90591,256.7,-90,170.0,27.11,2026-05-11
DH-2150,MINE-04,MINE-04-ZONE-E,21.65987,85.9076,95.0,-90,341.5,38.42,2026-05-12
DH-2151,MINE-02,MINE-02-ZONE-D,21.64033,85.94794,98.2,-90,136.3,42.04,2026-05-14
DH-2152,MINE-01,MINE-01-ZONE-D,21.64465,85.9473,84.9,-90,172.4,37.87,2026-05-15
DH-2153,MINE-02,MINE-02-ZONE-A,21.6449,85.94658,191.9,-90,229.5,28.2,2026-05-17
DH-2154,MINE-01,MINE-01-ZONE-E,21.64642,85.9604,171.0,-75,297.5,24.61,2026-05-18
DH-2155,MINE-03,MINE-03-ZONE-C,21.63075,85.94838,244.2,-90,35.2,30.41,2026-05-20
DH-2156,MINE-04,MINE-04-ZONE-B,21.65097,85.91905,211.3,-75,147.2,24.83,2026-05-21
DH-2157,MINE-04,MINE-04-ZONE-C,21.644,85.90795,115.8,-75,208.0,33.58,2026-05-23
DH-2158,MINE-01,MINE-01-ZONE-C,21.65062,85.9414,68.3,-75,335.0,23.54,2026-05-24
DH-2159,MINE-02,MINE-02-ZONE-C,21.65064,85.9387,204.1,-60,31.3,36.76,2026-05-26
DH-2160,MINE-02,MINE-02-ZONE-B,21.65014,85.92975,98.5,-90,38.3,32.91,2026-05-27
DH-2161,MINE-04,MINE-04-ZONE-A,21.66137,85.91941,160.9,-75,322.7,40.48,2026-05-29
DH-2162,MINE-02,MINE-02-ZONE-D,21.63863,85.94924,240.6,-60,199.6,27.96,2026-05-30
DH-2163,MINE-02,MINE-02-ZONE-D,21.63973,85.945,196.1,-60,280.4,26.96,2026-06-01
DH-2164,MINE-04,MINE-04-ZONE-D,21.65641,85.91314,261.5,-75,143.2,42.85,2026-06-02
DH-2165,MINE-02,MINE-02-ZONE-D,21.64383,85.94616,169.7,-60,150.9,33.31,2026-06-04
DH-2166,MINE-01,MINE-01-ZONE-A,21.6578,85.95046,246.9,-90,192.2,26.24,2026-06-05
DH-2167,MINE-02,MINE-02-ZONE-D,21.64182,85.94601,209.5,-90,71.6,30.26,2026-06-07
DH-2168,MINE-03,MINE-03-ZONE-A,21.62727,85.93581,118.8,-90,142.4,27.48,2026-06-08
DH-2169,MINE-04,MINE-04-ZONE-A,21.65406,85.91377,228.3,-60,37.4,35.16,2026-06-10
DH-2170,MINE-02,MINE-02-ZONE-A,21.64767,85.94449,253.0,-75,188.4,36.18,2026-06-11
DH-2171,MINE-04,MINE-04-ZONE-E,21.65237,85.90994,150.6,-90,157.4,27.55,2026-06-13
DH-2172,MINE-02,MINE-02-ZONE-D,21.64513,85.95059,150.8,-60,65.7,28.83,2026-06-14
DH-2173,MINE-01,MINE-01-ZONE-A,21.65622,85.94362,235.9,-75,166.9,33.85,2026-06-16
DH-2174,MINE-01,MINE-01-ZONE-A,21.66048,85.94299,229.7,-75,89.0,24.93,2026-06-17
DH-2175,MINE-04,MINE-04-ZONE-C,21.64283,85.90879,103.7,-60,310.9,34.5,2026-06-19
DH-2176,MINE-04,MINE-04-ZONE-A,21.65535,85.91751,114.7,-75,32.9,38.52,2026-06-20
DH-2177,MINE-03,MINE-03-ZONE-E,21.61883,85.9515,184.7,-90,125.2,35.42,2026-06-22
DH-2178,MINE-03,MINE-03-ZONE-C,21.62953,85.94696,93.9,-75,116.1,26.56,2026-06-23
DH-2179,MINE-04,MINE-04-ZONE-A,21.66212,85.91448,200.6,-75,200.9,44.28,2026-06-25
DH-2180,MINE-04,MINE-04-ZONE-D,21.65329,85.91079,151.3,-60,275.9,37.01,2026-06-26
DH-2181,MINE-04,MINE-04-ZONE-D,21.65525,85.9088,223.8,-75,346.2,35.1,2026-06-28
DH-2182,MINE-04,MINE-04-ZONE-B,21.66016,85.91405,68.3,-75,56.2,35.35,2026-06-29
DH-2183,MINE-04,MINE-04-ZONE-E,21.65267,85.91428,143.9,-60,331.9,37.41,2026-07-01
DH-2184,MINE-04,MINE-04-ZONE-B,21.65243,85.91924,279.4,-75,271.0,38.75,2026-07-02
DH-2185,MINE-02,MINE-02-ZONE-C,21.64656,85.9394,210.6,-90,32.3,27.82,2026-07-04
DH-2186,MINE-04,MINE-04-ZONE-E,21.66099,85.9144,63.0,-90,289.5,44.24,2026-07-05
DH-2187,MINE-02,MINE-02-ZONE-A,21.64511,85.94397,119.7,-75,235.7,23.44,2026-07-07
DH-2188,MINE-04,MINE-04-ZONE-B,21.6519,85.91565,250.7,-90,31.7,45.44,2026-07-08
DH-2189,MINE-03,MINE-03-ZONE-B,21.61462,85.94666,275.3,-75,292.3,30.53,2026-07-10
DH-2190,MINE-03,MINE-03-ZONE-E,21.61547,85.94799,179.1,-60,310.5,35.01,2026-07-11
DH-2191,MINE-01,MINE-01-ZONE-A,21.6616,85.94464,150.5,-75,268.4,40.37,2026-07-13
DH-2192,MINE-04,MINE-04-ZONE-A,21.65544,85.91206,149.9,-60,333.2,33.37,2026-07-14
DH-2193,MINE-03,MINE-03-ZONE-A,21.63349,85.93862,178.0,-90,315.3,31.46,2026-07-16
DH-2194,MINE-01,MINE-01-ZONE-B,21.6591,85.96234,230.2,-75,166.1,26.56,2026-07-17
DH-2195,MINE-03,MINE-03-ZONE-E,21.62053,85.94862,160.0,-75,116.7,36.17,2026-07-19
DH-2196,MINE-02,MINE-02-ZONE-A,21.64361,85.94008,220.6,-75,104.0,40.46,2026-07-20
DH-2197,MINE-02,MINE-02-ZONE-C,21.65049,85.93964,157.2,-90,216.0,27.2,2026-07-22
DH-2198,MINE-04,MINE-04-ZONE-D,21.65448,85.9125,70.8,-75,357.7,42.11,2026-07-23
DH-2199,MINE-02,MINE-02-ZONE-E,21.65258,85.9436,226.9,-90,23.4,29.75,2026-07-25
DH-2200,MINE-02,MINE-02-ZONE-E,21.65208,85.938,186.5,-90,127.4,32.25,2026-07-26
DH-2201,MINE-03,MINE-03-ZONE-E,21.61458,85.95508,235.9,-75,149.1,37.01,2026-07-28
DH-2202,MINE-02,MINE-02-ZONE-A,21.65144,85.94622,165.4,-75,287.0,26.66,2026-07-29
DH-2203,MINE-01,MINE-01-ZONE-A,21.65655,85.94584,96.5,-90,140.2,30.14,2026-07-31
DH-2204,MINE-01,MINE-01-ZONE-E,21.65364,85.95912,175.2,-75,51.6,26.57,2026-08-01
DH-2205,MINE-04,MINE-04-ZONE-E,21.65563,85.91509,82.7,-90,268.4,42.93,2026-08-03
DH-2206,MINE-02,MINE-02-ZONE-D,21.64728,85.9481,82.5,-90,126.1,24.75,2026-08-04
DH-2207,MINE-04,MINE-04-ZONE-E,21.65859,85.9131,158.1,-75,112.5,43.39,2026-08-06
DH-2208,MINE-03,MINE-03-ZONE-E,21.61984,85.95426,163.5,-60,51.7,29.45,2026-08-07
DH-2209,MINE-01,MINE-01-ZONE-C,21.65373,85.94461,151.0,-90,87.7,41.02,2026-08-09
DH-2210,MINE-01,MINE-01-ZONE-C,21.65552,85.94897,85.2,-90,166.6,39.74,2026-08-10
DH-2211,MINE-04,MINE-04-ZONE-E,21.65426,85.91302,129.7,-90,286.0,35.87,2026-08-12
DH-2212,MINE-04,MINE-04-ZONE-D,21.65468,85.90713,143.9,-90,76.0,31.46,2026-08-13
DH-2213,MINE-01,MINE-01-ZONE-A,21.66165,85.94708,274.5,-60,30.5,25.46,2026-08-15
DH-2214,MINE-01,MINE-01-ZONE-B,21.66175,85.95463,165.9,-90,28.8,35.64,2026-08-16
DH-2215,MINE-04,MINE-04-ZONE-A,21.65712,85.91333,275.1,-75,104.1,35.78,2026-08-18
DH-2216,MINE-04,MINE-04-ZONE-E,21.65715,85.90747,76.9,-75,90.7,22.66,2026-08-19
DH-2217,MINE-03,MINE-03-ZONE-D,21.61768,85.9551,200.3,-60,208.0,40.49,2026-08-21
DH-2218,MINE-02,MINE-02-ZONE-E,21.64809,85.94218,271.6,-90,344.1,44.25,2026-08-22
DH-2219,MINE-03,MINE-03-ZONE-C,21.62945,85.94172,207.8,-60,187.2,33.07,2026-08-24
DH-2220,MINE-01,MINE-01-ZONE-D,21.64655,85.94776,228.0,-90,203.8,24.07,2026-08-25
DH-2221,MINE-03,MINE-03-ZONE-A,21.63191,85.93567,73.7,-75,119.8,28.18,2026-08-27
DH-2222,MINE-03,MINE-03-ZONE-D,21.62173,85.95983,217.4,-60,12.5,27.24,2026-08-28
DH-2223,MINE-03,MINE-03-ZONE-C,21.62785,85.9487,167.9,-75,145.4,35.79,2026-08-30
DH-2224,MINE-02,MINE-02-ZONE-B,21.64649,85.93354,102.0,-90,140.4,26.24,2026-08-31
DH-2225,MINE-01,MINE-01-ZONE-C,21.65483,85.9456,272.3,-75,348.0,41.03,2026-09-02
DH-2226,MINE-01,MINE-01-ZONE-E,21.64673,85.95252,221.8,-75,235.4,39.79,2026-09-03
DH-2227,MINE-04,MINE-04-ZONE-E,21.66034,85.91046,238.5,-90,244.2,27.29,2026-09-05
DH-2228,MINE-04,MINE-04-ZONE-D,21.6525,85.91177,194.7,-60,5.6,22.98,2026-09-06
DH-2229,MINE-01,MINE-01-ZONE-B,21.66187,85.95962,79.4,-75,125.2,36.31,2026-09-08
DH-2230,MINE-02,MINE-02-ZONE-B,21.64804,85.93767,210.8,-75,179.1,28.63,2026-09-09
DH-2231,MINE-04,MINE-04-ZONE-C,21.64815,85.90725,85.5,-60,259.7,26.22,2026-09-11
DH-2232,MINE-02,MINE-02-ZONE-B,21.65586,85.93172,88.0,-90,204.7,37.17,2026-09-12
DH-2233,MINE-04,MINE-04-ZONE-A,21.65596,85.91453,161.8,-60,262.8,42.69,2026-09-14
DH-2234,MINE-01,MINE-01-ZONE-A,21.65687,85.94268,138.8,-60,233.2,38.64,2026-09-15
DH-2235,MINE-02,MINE-02-ZONE-A,21.6468,85.94164,199.3,-90,25.5,40.96,2026-09-17
DH-2236,MINE-04,MINE-04-ZONE-C,21.64591,85.91014,90.4,-75,85.9,38.92,2026-09-18
DH-2237,MINE-03,MINE-03-ZONE-D,21.61593,85.95415,167.0,-90,298.6,28.65,2026-09-20
DH-2238,MINE-01,MINE-01-ZONE-C,21.65116,85.94757,169.2,-60,187.4,24.62,2026-09-21
DH-2239,MINE-04,MINE-04-ZONE-C,21.64334,85.90372,233.7,-60,284.1,32.69,2026-09-23
DH-2240,MINE-02,MINE-02-ZONE-A,21.65003,85.94366,93.8,-60,42.1,42.14,2026-09-24
