obs_id,mine_id,zone_id,date,lithology,formation,structure_proximity_m,mn_grade_proxy,elevation,slope
GEO-OBS-1029,MINE-03,MINE-03-ZONE-C,2025-12-24,Schist,Tirodi Gneiss,463.6,0.38,347.1,7.8
GEO-OBS-1030,MINE-04,MINE-04-ZONE-C,2025-12-27,Chert,Mansi Formation,325.4,0.222,342.3,10.8
GEO-OBS-1031,MINE-01,MINE-01-ZONE-B,2025-12-30,Gneiss,Sausar Group,1134.6,0.169,397.8,10.3
GEO-OBS-1032,MINE-04,MINE-04-ZONE-D,2026-01-02,Chert,Mansi Formation,132.5,0.318,402.7,13.6
GEO-OBS-1033,MINE-02,MINE-02-ZONE-A,2026-01-05,Gondite,Sausar Group,1029.1,0.228,407.2,15.6
GEO-OBS-1034,MINE-01,MINE-01-ZONE-D,2026-01-08,Gneiss,Mansi Formation,889.4,0.163,402.5,14.2
GEO-OBS-1035,MINE-01,MINE-01-ZONE-C,2026-01-11,Chert,Chikla Member,1405.3,0.217,342.6,9.0
GEO-OBS-1036,MINE-03,MINE-03-ZONE-A,2026-01-14,Manganiferous Quartzite,Chikla Member,623.9,0.372,403.8,16.2
GEO-OBS-1037,MINE-02,MINE-02-ZONE-E,2026-01-17,Chert,Chikla Member,1397.1,0.459,435.9,19.3
GEO-OBS-1038,MINE-01,MINE-01-ZONE-A,2026-01-20,Chert,Sausar Group,156.2,0.22,405.3,15.9
GEO-OBS-1039,MINE-02,MINE-02-ZONE-D,2026-01-23,Manganiferous Quartzite,Chikla Member,1327.3,0.44,394.4,14.2
GEO-OBS-1040,MINE-03,MINE-03-ZONE-B,2026-01-26,Schist,Mansi Formation,685.4,0.329,374.0,11.1
GEO-OBS-1041,MINE-02,MINE-02-ZONE-E,2026-01-29,Gneiss,Sausar Group,1018.4,0.333,435.9,19.3
GEO-OBS-1042,MINE-01,MINE-01-ZONE-D,2026-02-01,Manganiferous Quartzite,Chikla Member,217.4,0.185,402.5,14.2
GEO-OBS-1043,MINE-04,MINE-04-ZONE-C,2026-02-04,Manganiferous Quartzite,Chikla Member,458.5,0.22,342.3,10.8
GEO-OBS-1044,MINE-03,MINE-03-ZONE-A,2026-02-07,Manganiferous Quartzite,Chikla Member,782.8,0.233,403.8,16.2
GEO-OBS-1045,MINE-01,MINE-01-ZONE-B,2026-02-10,Gondite,Tirodi Gneiss,1252.6,0.165,397.8,10.3
GEO-OBS-1046,MINE-03,MINE-03-ZONE-A,2026-02-13,Manganiferous Quartzite,Chikla Member,284.3,0.296,403.8,16.2
GEO-OBS-1047,MINE-03,MINE-03-ZONE-D,2026-02-16,Gneiss,Sausar Group,212.2,0.462,402.4,14.4
GEO-OBS-1048,MINE-01,MINE-01-ZONE-E,2026-02-19,Gneiss,Sausar Group,1260.2,0.342,434.3,17.0
GEO-OBS-1049,MINE-01,MINE-01-ZONE-E,2026-02-22,Chert,Mansi Formation,110.7,0.27,434.3,17.0
GEO-OBS-1050,MINE-01,MINE-01-ZONE-B,2026-02-25,Schist,Mansi Formation,1039.0,0.37,397.8,10.3
GEO-OBS-1051,MINE-03,MINE-03-ZONE-B,2026-02-28,Gneiss,Tirodi Gneiss,1462.1,0.397,374.0,11.1
GEO-OBS-1052,MINE-02,MINE-02-ZONE-C,2026-03-03,Manganiferous Quartzite,Mansi Formation,1328.1,0.158,360.2,9.9
GEO-OBS-1053,MINE-03,MINE-03-ZONE-A,2026-03-06,Chert,Mansi Formation,436.9,0.41,403.8,16.2
GEO-OBS-1054,MINE-01,MINE-01-ZONE-D,2026-03-09,Chert,Sausar Group,1295.0,0.223,402.5,14.2
GEO-OBS-1055,MINE-03,MINE-03-ZONE-E,2026-03-12,Schist,Chikla Member,1239.8,0.438,414.9,18.5
GEO-OBS-1056,MINE-02,MINE-02-ZONE-C,2026-03-15,Gondite,Mansi Formation,627.8,0.242,360.2,9.9
GEO-OBS-1057,MINE-01,MINE-01-ZONE-C,2026-03-18,Schist,Chikla Member,980.1,0.282,342.6,9.0
GEO-OBS-1058,MINE-04,MINE-04-ZONE-C,2026-03-21,Schist,Sausar Group,217.2,0.47,342.3,10.8
GEO-OBS-1059,MINE-02,MINE-02-ZONE-A,2026-03-24,Gneiss,Chikla Member,105.5,0.347,407.2,15.6
GEO-OBS-1060,MINE-03,MINE-03-ZONE-B,2026-03-27,Schist,Tirodi Gneiss,929.0,0.319,374.0,11.1
GEO-OBS-1061,MINE-03,MINE-03-ZONE-C,2026-03-30,Gneiss,Mansi Formation,419.3,0.384,347.1,7.8
GEO-OBS-1062,MINE-01,MINE-01-ZONE-A,2026-04-02,Gneiss,Mansi Formation,578.1,0.173,405.3,15.9
GEO-OBS-1063,MINE-03,MINE-03-ZONE-A,2026-04-05,Gneiss,Chikla Member,1011.9,0.191,403.8,16.2
GEO-OBS-1064,MINE-02,MINE-02-ZONE-E,2026-04-08,Gneiss,Chikla Member,1017.0,0.258,435.9,19.3
GEO-OBS-1065,MINE-02,MINE-02-ZONE-E,2026-04-11,Gneiss,Mansi Formation,328.2,0.369,435.9,19.3
GEO-OBS-1066,MINE-03,MINE-03-ZONE-C,2026-04-14,Manganiferous Quartzite,Chikla Member,638.8,0.425,347.1,7.8
GEO-OBS-1067,MINE-02,MINE-02-ZONE-E,2026-04-17,Schist,Mansi Formation,673.3,0.341,435.9,19.3
GEO-OBS-1068,MINE-03,MINE-03-ZONE-A,2026-04-20,Chert,Tirodi Gneiss,691.1,0.221,403.8,16.2
GEO-OBS-1069,MINE-04,MINE-04-ZONE-A,2026-04-23,Manganiferous Quartzite,Sausar Group,461.5,0.369,413.7,17.7
GEO-OBS-1070,MINE-04,MINE-04-ZONE-E,2026-04-26,Schist,Sausar Group,1236.7,0.398,417.9,18.0
GEO-OBS-1071,MINE-02,MINE-02-ZONE-E,2026-04-29,Manganiferous Quartzite,Mansi Formation,263.7,0.165,435.9,19.3
GEO-OBS-1072,MINE-04,MINE-04-ZONE-A,2026-05-02,Gneiss,Sausar Group,710.4,0.442,413.7,17.7
GEO-OBS-1073,MINE-04,MINE-04-ZONE-D,2026-05-05,Manganiferous Quartzite,Tirodi Gneiss,766.8,0.231,402.7,13.6
GEO-OBS-1074,MINE-01,MINE-01-ZONE-A,2026-05-08,Gondite,Tirodi Gneiss,367.3,0.415,405.3,15.9
GEO-OBS-1075,MINE-04,MINE-04-ZONE-B,2026-05-11,Chert,Sausar Group,858.2,0.453,377.9,10.1
GEO-OBS-1076,MINE-01,MINE-01-ZONE-D,2026-05-14,Chert,Mansi Formation,1212.1,0.37,402.5,14.2
GEO-OBS-1077,MINE-04,MINE-04-ZONE-C,2026-05-17,Gneiss,Chikla Member,1427.6,0.444,342.3,10.8
GEO-OBS-1078,MINE-04,MINE-04-ZONE-E,2026-05-20,Gneiss,Tirodi Gneiss,1254.3,0.331,417.9,18.0
GEO-OBS-1079,MINE-02,MINE-02-ZONE-A,2026-05-23,Chert,Tirodi Gneiss,425.8,0.232,407.2,15.6
GEO-OBS-1080,MINE-02,MINE-02-ZONE-D,2026-05-26,Gneiss,Tirodi Gneiss,958.8,0.241,394.4,14.2
GEO-OBS-1081,MINE-01,MINE-01-ZONE-C,2026-05-29,Schist,Mansi Formation,444.0,0.256,342.6,9.0
GEO-OBS-1082,MINE-04,MINE-04-ZONE-C,2026-06-01,Gondite,Mansi Formation,268.7,0.276,342.3,10.8
GEO-OBS-1083,MINE-01,MINE-01-ZONE-E,2026-06-04,Manganiferous Quartzite,Sausar Group,651.6,0.259,434.3,17.0
GEO-OBS-1084,MINE-03,MINE-03-ZONE-E,2026-06-07,Chert,Sausar Group,349.9,0.289,414.9,18.5
GEO-OBS-1085,MINE-04,MINE-04-ZONE-D,2026-06-10,Gondite,Tirodi Gneiss,741.6,0.461,402.7,13.6
GEO-OBS-1086,MINE-02,MINE-02-ZONE-E,2026-06-13,Chert,Tirodi Gneiss,830.4,0.392,435.9,19.3
GEO-OBS-1087,MINE-04,MINE-04-ZONE-E,2026-06-16,Manganiferous Quartzite,Tirodi Gneiss,368.2,0.294,417.9,18.0
GEO-OBS-1088,MINE-01,MINE-01-ZONE-A,2026-06-19,Chert,Chikla Member,1019.9,0.413,405.3,15.9
GEO-OBS-1089,MINE-02,MINE-02-ZONE-A,2026-06-22,Chert,Mansi Formation,1472.0,0.326,407.2,15.6
GEO-OBS-1090,MINE-03,MINE-03-ZONE-C,2026-06-25,Gneiss,Sausar Group,171.7,0.291,347.1,7.8
GEO-OBS-1091,MINE-03,MINE-03-ZONE-E,2026-06-28,Manganiferous Quartzite,Sausar Group,427.2,0.258,414.9,18.5
GEO-OBS-1092,MINE-03,MINE-03-ZONE-E,2026-07-01,Schist,Chikla Member,1153.8,0.275,414.9,18.5
GEO-OBS-1093,MINE-03,MINE-03-ZONE-D,2026-07-04,Schist,Sausar Group,731.9,0.397,402.4,14.4
GEO-OBS-1094,MINE-01,MINE-01-ZONE-B,2026-07-07,Schist,Mansi Formation,992.7,0.408,397.8,10.3
GEO-OBS-1095,MINE-01,MINE-01-ZONE-B,2026-07-10,Gondite,Mansi Formation,339.1,0.157,397.8,10.3
GEO-OBS-1096,MINE-01,MINE-01-ZONE-E,2026-07-13,Manganiferous Quartzite,Mansi Formation,736.7,0.188,434.3,17.0
GEO-OBS-1097,MINE-02,MINE-02-ZONE-B,2026-07-16,Chert,Chikla Member,1162.0,0.205,373.8,10.4
GEO-OBS-1098,MINE-04,MINE-04-ZONE-E,2026-07-19,Gondite,Mansi Formation,1448.8,0.186,417.9,18.0
GEO-OBS-1099,MINE-01,MINE-01-ZONE-A,2026-07-22,Schist,Tirodi Gneiss,625.1,0.386,405.3,15.9
GEO-OBS-1100,MINE-01,MINE-01-ZONE-C,2026-07-25,Gneiss,Mansi Formation,197.8,0.405,342.6,9.0
GEO-OBS-1101,MINE-04,MINE-04-ZONE-E,2026-07-28,Gondite,Sausar Group,553.4,0.291,417.9,18.0
GEO-OBS-1102,MINE-03,MINE-03-ZONE-B,2026-07-31,Gondite,Chikla Member,68.3,0.289,374.0,11.1
GEO-OBS-1103,MINE-04,MINE-04-ZONE-A,2026-08-03,Gondite,Tirodi Gneiss,1443.1,0.36,413.7,17.7
GEO-OBS-1104,MINE-03,MINE-03-ZONE-E,2026-08-06,Manganiferous Quartzite,Tirodi Gneiss,305.4,0.322,414.9,18.5
GEO-OBS-1105,MINE-02,MINE-02-ZONE-D,2026-08-09,Gneiss,Tirodi Gneiss,724.1,0.422,394.4,14.2
GEO-OBS-1106,MINE-04,MINE-04-ZONE-D,2026-08-12,Schist,Chikla Member,1285.0,0.424,402.7,13.6
GEO-OBS-1107,MINE-01,MINE-01-ZONE-C,2026-08-15,Schist,Tirodi Gneiss,403.6,0.303,342.6,9.0
GEO-OBS-1108,MINE-04,MINE-04-ZONE-E,2026-08-18,Chert,Chikla Member,91.6,0.431,417.9,18.0
GEO-OBS-1109,MINE-02,MINE-02-ZONE-A,2026-08-21,Chert,Mansi Formation,564.5,0.235,407.2,15.6
GEO-OBS-1110,MINE-02,MINE-02-ZONE-D,2026-08-24,Gneiss,Chikla Member,855.9,0.32,394.4,14.2
GEO-OBS-1111,MINE-02,MINE-02-ZONE-B,2026-08-27,Gondite,Mansi Formation,1094.1,0.311,373.8,10.4
GEO-OBS-1112,MINE-02,MINE-02-ZONE-C,2026-08-30,Chert,Tirodi Gneiss,699.9,0.156,360.2,9.9
GEO-OBS-1113,MINE-02,MINE-02-ZONE-E,2026-09-02,Manganiferous Quartzite,Tirodi Gneiss,1053.1,0.251,435.9,19.3
GEO-OBS-1114,MINE-04,MINE-04-ZONE-D,2026-09-05,Schist,Tirodi Gneiss,852.5,0.263,402.7,13.6
GEO-OBS-1115,MINE-04,MINE-04-ZONE-C,2026-09-08,Schist,Chikla Member,1069.1,0.239,342.3,10.8
GEO-OBS-1116,MINE-02,MINE-02-ZONE-D,2026-09-11,Manganiferous Quartzite,Sausar Group,1095.9,0.254,394.4,14.2
GEO-OBS-1117,MINE-04,MINE-04-ZONE-C,2026-09-14,Manganiferous Quartzite,Mansi Formation,363.8,0.31,342.3,10.8
GEO-OBS-1118,MINE-04,MINE-04-ZONE-D,2026-09-17,Gneiss,Chikla Member,1471.7,0.425,402.7,13.6
GEO-OBS-1119,MINE-02,MINE-02-ZONE-E,2026-09-20,Manganiferous Quartzite,Chikla Member,310.2,0.155,435.9,19.3
GEO-OBS-1120,MINE-04,MINE-04-ZONE-C,2026-09-23,Manganiferous Quartzite,Chikla Member,116.0,0.168,342.3,10.8
