record_id,date,mine_id,rainfall_mm,temp_c,humidity_pct,soil_moisture_pct,weather_condition
WX-MINE-01-2025-10-13,2025-10-13,MINE-01,2.7,25.3,51.5,0.27,CLEAR
WX-MINE-02-2025-10-13,2025-10-13,MINE-02,0.8,34.7,88.6,0.16,CLEAR
WX-MINE-03-2025-10-13,2025-10-13,MINE-03,3.4,26.3,49.6,0.21,CLEAR
WX-MINE-04-2025-10-13,2025-10-13,MINE-04,2.3,38.1,69.4,0.26,CLEAR
WX-MINE-01-2025-10-14,2025-10-14,MINE-01,2.9,33.6,67.6,0.2,CLEAR
WX-MINE-02-2025-10-14,2025-10-14,MINE-02,2.3,32.6,58.5,0.2,CLEAR
WX-MINE-03-2025-10-14,2025-10-14,MINE-03,0.3,38.5,62.8,0.18,CLEAR
WX-MINE-04-2025-10-14,2025-10-14,MINE-04,2.7,28.3,57.8,0.2,CLEAR
WX-MINE-01-2025-10-15,2025-10-15,MINE-01,2.1,35.4,65.1,0.26,CLEAR
WX-MINE-02-2025-10-15,2025-10-15,MINE-02,2.5,32.3,45.3,0.22,CLEAR
WX-MINE-03-2025-10-15,2025-10-15,MINE-03,2.6,38.5,86.6,0.2,CLEAR
WX-MINE-04-2025-10-15,2025-10-15,MINE-04,2.6,38.2,81.9,0.26,CLEAR
WX-MINE-01-2025-10-16,2025-10-16,MINE-01,3.7,36.5,38.3,0.2,CLEAR
WX-MINE-02-2025-10-16,2025-10-16,MINE-02,1.8,26.8,76.1,0.24,CLEAR
WX-MINE-03-2025-10-16,2025-10-16,MINE-03,3.4,30.2,82.3,0.27,CLEAR
WX-MINE-04-2025-10-16,2025-10-16,MINE-04,2.5,38.9,49.7,0.2,CLEAR
WX-MINE-01-2025-10-17,2025-10-17,MINE-01,0.6,35.7,48.0,0.18,CLEAR
WX-MINE-02-2025-10-17,2025-10-17,MINE-02,0.6,22.6,78.8,0.19,CLEAR
WX-MINE-03-2025-10-17,2025-10-17,MINE-03,1.9,41.8,58.2,0.26,CLEAR
WX-MINE-04-2025-10-17,2025-10-17,MINE-04,0.8,27.5,36.6,0.24,CLEAR
WX-MINE-01-2025-10-18,2025-10-18,MINE-01,1.1,33.0,70.4,0.16,CLEAR
WX-MINE-02-2025-10-18,2025-10-18,MINE-02,2.9,37.6,38.0,0.26,CLEAR
WX-MINE-03-2025-10-18,2025-10-18,MINE-03,1.3,28.0,38.5,0.26,CLEAR
WX-MINE-04-2025-10-18,2025-10-18,MINE-04,3.6,35.4,83.7,0.22,CLEAR
WX-MINE-01-2025-10-19,2025-10-19,MINE-01,3.4,38.9,48.0,0.24,CLEAR
WX-MINE-02-2025-10-19,2025-10-19,MINE-02,2.0,24.4,71.5,0.22,CLEAR
WX-MINE-03-2025-10-19,2025-10-19,MINE-03,3.1,32.5,62.3,0.18,CLEAR
WX-MINE-04-2025-10-19,2025-10-19,MINE-04,2.4,37.5,52.2,0.25,CLEAR
WX-MINE-01-2025-10-20,2025-10-20,MINE-01,2.9,38.1,75.9,0.27,CLEAR
WX-MINE-02-2025-10-20,2025-10-20,MINE-02,0.9,24.1,46.8,0.18,CLEAR
WX-MINE-03-2025-10-20,2025-10-20,MINE-03,1.6,39.3,38.1,0.22,CLEAR
WX-MINE-04-2025-10-20,2025-10-20,MINE-04,2.8,24.3,65.0,0.22,CLEAR
WX-MINE-01-2025-10-21,2025-10-21,MINE-01,1.0,27.6,78.1,0.17,CLEAR
WX-MINE-02-2025-10-21,2025-10-21,MINE-02,1.9,29.4,51.9,0.23,CLEAR
WX-MINE-03-2025-10-21,2025-10-21,MINE-03,3.6,22.7,75.7,0.26,CLEAR
WX-MINE-04-2025-10-21,2025-10-21,MINE-04,0.2,40.3,71.9,0.18,CLEAR
WX-MINE-01-2025-10-22,2025-10-22,MINE-01,1.5,34.8,73.5,0.25,CLEAR
WX-MINE-02-2025-10-22,2025-10-22,MINE-02,2.7,32.7,48.0,0.22,CLEAR
WX-MINE-03-2025-10-22,2025-10-22,MINE-03,0.0,41.2,86.0,0.24,CLEAR
WX-MINE-04-2025-10-22,2025-10-22,MINE-04,1.2,40.7,76.6,0.19,CLEAR
WX-MINE-01-2025-10-23,2025-10-23,MINE-01,3.4,25.2,59.1,0.21,CLEAR
WX-MINE-02-2025-10-23,2025-10-23,MINE-02,3.2,34.9,78.4,0.2,CLEAR
WX-MINE-03-2025-10-23,2025-10-23,MINE-03,0.3,37.6,62.0,0.23,CLEAR
WX-MINE-04-2025-10-23,2025-10-23,MINE-04,3.7,28.7,58.2,0.27,CLEAR
WX-MINE-01-2025-10-24,2025-10-24,MINE-01,0.4,25.2,49.4,0.16,CLEAR
WX-MINE-02-2025-10-24,2025-10-24,MINE-02,1.7,36.6,65.1,0.2,CLEAR
WX-MINE-03-2025-10-24,2025-10-24,MINE-03,2.8,37.2,70.3,0.19,CLEAR
WX-MINE-04-2025-10-24,2025-10-24,MINE-04,1.8,34.8,35.2,0.19,CLEAR
WX-MINE-01-2025-10-25,2025-10-25,MINE-01,1.2,33.5,41.1,0.18,CLEAR
WX-MINE-02-2025-10-25,2025-10-25,MINE-02,2.9,37.4,70.7,0.19,CLEAR
WX-MINE-03-2025-10-25,2025-10-25,MINE-03,2.4,30.2,86.7,0.22,CLEAR
WX-MINE-04-2025-10-25,2025-10-25,MINE-04,3.5,24.7,44.5,0.24,CLEAR
WX-MINE-01-2025-10-26,2025-10-26,MINE-01,1.3,27.6,39.6,0.2,CLEAR
WX-MINE-02-2025-10-26,2025-10-26,MINE-02,1.6,29.5,80.9,0.22,CLEAR
WX-MINE-03-2025-10-26,2025-10-26,MINE-03,0.1,22.5,65.7,0.21,CLEAR
WX-MINE-04-2025-10-26,2025-10-26,MINE-04,0.9,23.8,60.4,0.18,CLEAR
WX-MINE-01-2025-10-27,2025-10-27,MINE-01,3.4,23.0,69.0,0.24,CLEAR
WX-MINE-02-2025-10-27,2025-10-27,MINE-02,0.6,41.2,44.4,0.21,CLEAR
WX-MINE-03-2025-10-27,2025-10-27,MINE-03,0.1,32.5,77.5,0.24,CLEAR
WX-MINE-04-2025-10-27,2025-10-27,MINE-04,3.3,31.9,47.3,0.2,CLEAR
WX-MINE-01-2025-10-28,2025-10-28,MINE-01,3.8,38.3,49.6,0.26,CLEAR
WX-MINE-02-2025-10-28,2025-10-28,MINE-02,1.5,30.6,46.4,0.18,CLEAR
WX-MINE-03-2025-10-28,2025-10-28,MINE-03,3.3,36.5,45.4,0.2,CLEAR
WX-MINE-04-2025-10-28,2025-10-28,MINE-04,3.2,22.6,88.7,0.2,CLEAR
WX-MINE-01-2025-10-29,2025-10-29,MINE-01,1.8,27.0,67.1,0.23,CLEAR
WX-MINE-02-2025-10-29,2025-10-29,MINE-02,0.3,31.4,82.9,0.25,CLEAR
WX-MINE-03-2025-10-29,2025-10-29,MINE-03,1.6,26.2,56.1,0.21,CLEAR
WX-MINE-04-2025-10-29,2025-10-29,MINE-04,2.4,23.5,65.6,0.18,CLEAR
WX-MINE-01-2025-10-30,2025-10-30,MINE-01,3.7,31.4,54.5,0.24,CLEAR
WX-MINE-02-2025-10-30,2025-10-30,MINE-02,2.7,38.0,74.0,0.25,CLEAR
WX-MINE-03-2025-10-30,2025-10-30,MINE-03,0.0,32.1,56.0,0.25,CLEAR
WX-MINE-04-2025-10-30,2025-10-30,MINE-04,2.7,24.6,84.1,0.18,CLEAR
WX-MINE-01-2025-10-31,2025-10-31,MINE-01,0.7,25.4,62.1,0.19,CLEAR
WX-MINE-02-2025-10-31,2025-10-31,MINE-02,1.9,23.8,74.1,0.21,CLEAR
WX-MINE-03-2025-10-31,2025-10-31,MINE-03,1.0,28.3,88.8,0.21,CLEAR
WX-MINE-04-2025-10-31,2025-10-31,MINE-04,3.9,27.6,54.8,0.23,CLEAR
WX-MINE-01-2025-11-01,2025-11-01,MINE-01,3.6,27.3,80.6,0.27,CLEAR
WX-MINE-02-2025-11-01,2025-11-01,MINE-02,2.1,30.7,44.1,0.24,CLEAR
WX-MINE-03-2025-11-01,2025-11-01,MINE-03,2.0,41.0,65.6,0.26,CLEAR
WX-MINE-04-2025-11-01,2025-11-01,MINE-04,2.5,30.8,45.4,0.18,CLEAR
WX-MINE-01-2025-11-02,2025-11-02,MINE-01,0.7,31.4,44.0,0.2,CLEAR
WX-MINE-02-2025-11-02,2025-11-02,MINE-02,0.5,39.9,62.2,0.2,CLEAR
WX-MINE-03-2025-11-02,2025-11-02,MINE-03,4.0,33.2,60.2,0.19,CLEAR
WX-MINE-04-2025-11-02,2025-11-02,MINE-04,2.9,25.0,54.2,0.19,CLEAR
WX-MINE-01-2025-11-03,2025-11-03,MINE-01,1.1,38.7,76.2,0.24,CLEAR
WX-MINE-02-2025-11-03,2025-11-03,MINE-02,2.3,35.3,46.7,0.27,CLEAR
WX-MINE-03-2025-11-03,2025-11-03,MINE-03,0.0,37.3,44.9,0.24,CLEAR
WX-MINE-04-2025-11-03,2025-11-03,MINE-04,1.0,32.0,40.2,0.19,CLEAR
WX-MINE-01-2025-11-04,2025-11-04,MINE-01,1.1,41.6,41.7,0.2,CLEAR
WX-MINE-02-2025-11-04,2025-11-04,MINE-02,3.7,24.1,52.8,0.18,CLEAR
WX-MINE-03-2025-11-04,2025-11-04,MINE-03,1.8,36.2,61.4,0.23,CLEAR
WX-MINE-04-2025-11-04,2025-11-04,MINE-04,1.1,35.2,53.1,0.16,CLEAR
WX-MINE-01-2025-11-05,2025-11-05,MINE-01,2.5,31.1,87.1,0.27,CLEAR
WX-MINE-02-2025-11-05,2025-11-05,MINE-02,3.6,37.9,42.1,0.27,CLEAR
WX-MINE-03-2025-11-05,2025-11-05,MINE-03,3.2,27.7,78.9,0.25,CLEAR
WX-MINE-04-2025-11-05,2025-11-05,MINE-04,2.2,34.0,40.1,0.19,CLEAR
WX-MINE-01-2025-11-06,2025-11-06,MINE-01,1.0,37.4,56.9,0.16,CLEAR
WX-MINE-02-2025-11-06,2025-11-06,MINE-02,0.8,29.8,57.1,0.22,CLEAR
WX-MINE-03-2025-11-06,2025-11-06,MINE-03,3.8,25.1,51.4,0.26,CLEAR
WX-MINE-04-2025-11-06,2025-11-06,MINE-04,2.9,40.4,84.7,0.23,CLEAR
WX-MINE-01-2025-11-07,2025-11-07,MINE-01,1.4,23.9,55.2,0.18,CLEAR
WX-MINE-02-2025-11-07,2025-11-07,MINE-02,1.8,29.8,49.8,0.23,CLEAR
WX-MINE-03-2025-11-07,2025-11-07,MINE-03,0.4,30.5,55.3,0.17,CLEAR
WX-MINE-04-2025-11-07,2025-11-07,MINE-04,2.5,23.9,63.2,0.27,CLEAR
WX-MINE-01-2025-11-08,2025-11-08,MINE-01,2.7,35.0,74.2,0.27,CLEAR
WX-MINE-02-2025-11-08,2025-11-08,MINE-02,2.1,34.9,39.6,0.21,CLEAR
WX-MINE-03-2025-11-08,2025-11-08,MINE-03,0.3,38.0,51.5,0.25,CLEAR
WX-MINE-04-2025-11-08,2025-11-08,MINE-04,2.7,28.0,48.7,0.22,CLEAR
WX-MINE-01-2025-11-09,2025-11-09,MINE-01,2.3,33.0,85.5,0.22,CLEAR
WX-MINE-02-2025-11-09,2025-11-09,MINE-02,2.0,30.3,60.6,0.24,CLEAR
WX-MINE-03-2025-11-09,2025-11-09,MINE-03,3.3,29.1,67.2,0.25,CLEAR
WX-MINE-04-2025-11-09,2025-11-09,MINE-04,0.1,36.8,60.5,0.23,CLEAR
WX-MINE-01-2025-11-10,2025-11-10,MINE-01,3.4,22.9,57.9,0.25,CLEAR
WX-MINE-02-2025-11-10,2025-11-10,MINE-02,1.3,36.5,76.7,0.21,CLEAR
WX-MINE-03-2025-11-10,2025-11-10,MINE-03,3.2,28.8,85.5,0.26,CLEAR
WX-MINE-04-2025-11-10,2025-11-10,MINE-04,0.8,23.6,89.0,0.18,CLEAR
WX-MINE-01-2025-11-11,2025-11-11,MINE-01,2.7,30.7,36.0,0.21,CLEAR
WX-MINE-02-2025-11-11,2025-11-11,MINE-02,0.1,35.1,60.3,0.19,CLEAR
WX-MINE-03-2025-11-11,2025-11-11,MINE-03,2.6,36.9,74.9,0.2,CLEAR
WX-MINE-04-2025-11-11,2025-11-11,MINE-04,3.3,34.3,73.0,0.27,CLEAR
WX-MINE-01-2025-11-12,2025-11-12,MINE-01,2.7,38.1,39.8,0.19,CLEAR
WX-MINE-02-2025-11-12,2025-11-12,MINE-02,0.8,38.3,73.3,0.18,CLEAR
WX-MINE-03-2025-11-12,2025-11-12,MINE-03,0.1,31.6,43.0,0.18,CLEAR
WX-MINE-04-2025-11-12,2025-11-12,MINE-04,3.4,39.2,64.6,0.19,CLEAR
WX-MINE-01-2025-11-13,2025-11-13,MINE-01,3.1,25.0,58.2,0.19,CLEAR
WX-MINE-02-2025-11-13,2025-11-13,MINE-02,3.6,36.8,59.5,0.23,CLEAR
WX-MINE-03-2025-11-13,2025-11-13,MINE-03,0.1,31.0,48.3,0.18,CLEAR
WX-MINE-04-2025-11-13,2025-11-13,MINE-04,3.3,29.8,53.4,0.19,CLEAR
WX-MINE-01-2025-11-14,2025-11-14,MINE-01,3.4,30.6,57.9,0.23,CLEAR
WX-MINE-02-2025-11-14,2025-11-14,MINE-02,2.3,36.6,89.9,0.17,CLEAR
WX-MINE-03-2025-11-14,2025-11-14,MINE-03,1.6,32.3,74.9,0.26,CLEAR
WX-MINE-04-2025-11-14,2025-11-14,MINE-04,3.6,39.4,47.8,0.19,CLEAR
WX-MINE-01-2025-11-15,2025-11-15,MINE-01,0.1,33.5,65.4,0.18,CLEAR
WX-MINE-02-2025-11-15,2025-11-15,MINE-02,2.6,39.8,41.4,0.23,CLEAR
WX-MINE-03-2025-11-15,2025-11-15,MINE-03,2.6,31.0,59.0,0.19,CLEAR
WX-MINE-04-2025-11-15,2025-11-15,MINE-04,2.9,31.4,59.1,0.22,CLEAR
WX-MINE-01-2025-11-16,2025-11-16,MINE-01,2.4,35.7,85.7,0.26,CLEAR
WX-MINE-02-2025-11-16,2025-11-16,MINE-02,2.9,31.4,83.6,0.25,CLEAR
WX-MINE-03-2025-11-16,2025-11-16,MINE-03,1.6,30.3,86.8,0.23,CLEAR
WX-MINE-04-2025-11-16,2025-11-16,MINE-04,1.4,31.4,88.4,0.18,CLEAR
WX-MINE-01-2025-11-17,2025-11-17,MINE-01,0.8,35.8,39.7,0.2,CLEAR
WX-MINE-02-2025-11-17,2025-11-17,MINE-02,0.7,25.1,62.1,0.24,CLEAR
WX-MINE-03-2025-11-17,2025-11-17,MINE-03,3.8,31.9,47.9,0.24,CLEAR
WX-MINE-04-2025-11-17,2025-11-17,MINE-04,4.0,29.2,49.3,0.25,CLEAR
WX-MINE-01-2025-11-18,2025-11-18,MINE-01,0.7,39.2,62.7,0.24,CLEAR
WX-MINE-02-2025-11-18,2025-11-18,MINE-02,1.4,24.3,47.5,0.22,CLEAR
WX-MINE-03-2025-11-18,2025-11-18,MINE-03,1.9,41.9,78.2,0.24,CLEAR
WX-MINE-04-2025-11-18,2025-11-18,MINE-04,3.1,33.1,84.3,0.26,CLEAR
WX-MINE-01-2025-11-19,2025-11-19,MINE-01,3.5,34.1,40.7,0.18,CLEAR
WX-MINE-02-2025-11-19,2025-11-19,MINE-02,3.8,38.0,87.9,0.26,CLEAR
WX-MINE-03-2025-11-19,2025-11-19,MINE-03,3.9,37.6,68.5,0.27,CLEAR
WX-MINE-04-2025-11-19,2025-11-19,MINE-04,0.4,33.2,62.9,0.17,CLEAR
WX-MINE-01-2025-11-20,2025-11-20,MINE-01,0.5,26.1,54.9,0.23,CLEAR
WX-MINE-02-2025-11-20,2025-11-20,MINE-02,2.8,37.2,62.4,0.26,CLEAR
WX-MINE-03-2025-11-20,2025-11-20,MINE-03,0.6,29.3,80.1,0.17,CLEAR
WX-MINE-04-2025-11-20,2025-11-20,MINE-04,0.8,41.4,77.3,0.16,CLEAR
WX-MINE-01-2025-11-21,2025-11-21,MINE-01,3.3,31.5,50.8,0.19,CLEAR
WX-MINE-02-2025-11-21,2025-11-21,MINE-02,1.1,36.3,57.8,0.22,CLEAR
WX-MINE-03-2025-11-21,2025-11-21,MINE-03,1.0,37.1,64.1,0.24,CLEAR
WX-MINE-04-2025-11-21,2025-11-21,MINE-04,0.6,30.6,85.5,0.24,CLEAR
WX-MINE-01-2025-11-22,2025-11-22,MINE-01,3.8,32.3,72.5,0.28,CLEAR
WX-MINE-02-2025-11-22,2025-11-22,MINE-02,1.8,37.4,74.5,0.22,CLEAR
WX-MINE-03-2025-11-22,2025-11-22,MINE-03,0.3,28.8,57.1,0.23,CLEAR
WX-MINE-04-2025-11-22,2025-11-22,MINE-04,1.7,29.9,37.0,0.26,CLEAR
WX-MINE-01-2025-11-23,2025-11-23,MINE-01,0.6,33.5,88.8,0.25,CLEAR
WX-MINE-02-2025-11-23,2025-11-23,MINE-02,3.2,39.5,88.5,0.22,CLEAR
WX-MINE-03-2025-11-23,2025-11-23,MINE-03,3.5,36.0,83.0,0.25,CLEAR
WX-MINE-04-2025-11-23,2025-11-23,MINE-04,1.3,28.9,80.5,0.25,CLEAR
WX-MINE-01-2025-11-24,2025-11-24,MINE-01,2.4,24.9,57.2,0.23,CLEAR
WX-MINE-02-2025-11-24,2025-11-24,MINE-02,3.6,34.5,69.0,0.22,CLEAR
WX-MINE-03-2025-11-24,2025-11-24,MINE-03,1.4,38.2,70.7,0.24,CLEAR
WX-MINE-04-2025-11-24,2025-11-24,MINE-04,3.5,23.7,64.6,0.22,CLEAR
WX-MINE-01-2025-11-25,2025-11-25,MINE-01,2.9,39.6,63.6,0.23,CLEAR
WX-MINE-02-2025-11-25,2025-11-25,MINE-02,0.9,32.2,52.2,0.19,CLEAR
WX-MINE-03-2025-11-25,2025-11-25,MINE-03,2.5,22.5,84.0,0.22,CLEAR
WX-MINE-04-2025-11-25,2025-11-25,MINE-04,1.0,38.6,51.7,0.2,CLEAR
WX-MINE-01-2025-11-26,2025-11-26,MINE-01,2.0,36.6,81.3,0.19,CLEAR
WX-MINE-02-2025-11-26,2025-11-26,MINE-02,2.0,24.5,76.6,0.26,CLEAR
WX-MINE-03-2025-11-26,2025-11-26,MINE-03,1.8,33.4,35.3,0.2,CLEAR
WX-MINE-04-2025-11-26,2025-11-26,MINE-04,0.9,36.9,67.0,0.23,CLEAR
WX-MINE-01-2025-11-27,2025-11-27,MINE-01,3.8,35.3,81.4,0.21,CLEAR
WX-MINE-02-2025-11-27,2025-11-27,MINE-02,1.2,35.3,79.8,0.22,CLEAR
WX-MINE-03-2025-11-27,2025-11-27,MINE-03,0.6,29.6,75.6,0.17,CLEAR
